date,rainfall,gwl,api
05/12/2021,4,8.62,654.18
06/12/2021,1,8.72,640.84
07/12/2021,0,8.65,627.03
08/12/2021,0,8.7,613.24
09/12/2021,0,8.67,599.46
10/12/2021,3,8.69,588.66
11/12/2021,0,8.73,574.81
12/12/2021,0,8.75,560.73
13/12/2021,0,8.8,547.23
14/12/2021,0,8.88,534.04
15/12/2021,0,8.81,520.78
16/12/2021,0,8.83,506.99
17/12/2021,0,8.84,494.22
18/12/2021,0,8.79,482.12
19/12/2021,0,8.83,470.02
20/12/2021,0,8.88,457.92
21/12/2021,0,8.95,445.82
22/12/2021,0,9.01,433.72
23/12/2021,0,9.04,421.62
24/12/2021,0,9.12,409.52
25/12/2021,0,9.11,397.42
26/12/2021,0,9.14,384.87
27/12/2021,0,9.18,372.88
28/12/2021,0,9.11,361.46
29/12/2021,0,9.2,350.23
30/12/2021,0,9.19,339.09
31/12/2021,0,9.24,327.93
01/01/2022,0,9.31,316.38
02/01/2022,0,9.33,305.7
03/01/2022,0,9.34,295.08
04/01/2022,0,9.36,284.57
05/01/2022,0,9.39,274.06
06/01/2022,0,9.35,263.54
07/01/2022,0,9.41,253.03
08/01/2022,0,9.38,242.52
09/01/2022,0,9.44,232.01
10/01/2022,0,9.49,220.84
11/01/2022,0,9.53,210.73
12/01/2022,0,9.48,201.01
13/01/2022,0,9.5,191.53
14/01/2022,0,9.42,182.01
15/01/2022,0,9.49,171.77
16/01/2022,0,9.5,161.97
17/01/2022,0,9.56,154.4
18/01/2022,0,9.45,147.08
19/01/2022,0,9.49,139.42
20/01/2022,0,9.52,132.42
21/01/2022,0,9.54,124.56
22/01/2022,0,9.52,118.41
23/01/2022,0,9.66,112.38
24/01/2022,0,9.6,105.97
25/01/2022,0,9.52,100.29
26/01/2022,0,9.54,94.56
27/01/2022,0,9.46,89.01
28/01/2022,0,9.53,83.48
29/01/2022,0,9.53,77.96
30/01/2022,0,9.53,72.37
31/01/2022,0,9.53,66.34
01/02/2022,0,9.53,60.99
02/02/2022,0,9.53,56.73
03/02/2022,0,9.53,52.48
04/02/2022,0,9.53,48.27
05/02/2022,0,9.53,44.04
06/02/2022,0,9.54,39.84
07/02/2022,0,9.54,35.61
08/02/2022,0,9.54,31.44
09/02/2022,0,9.54,27.23
10/02/2022,0,9.55,22.54
11/02/2022,0,9.55,18.6
12/02/2022,0,9.59,13.66
13/02/2022,0,9.62,12.17
14/02/2022,0,9.68,10.51
15/02/2022,0,9.65,9.59
16/02/2022,0,9.62,8.67
17/02/2022,0,9.66,7.6
18/02/2022,2,9.72,8.74
19/02/2022,0,9.7,8.04
20/02/2022,0,9.69,7.34
21/02/2022,0,9.67,6.64
22/02/2022,0,9.66,5.78
23/02/2022,0,9.64,5.24
24/02/2022,0,9.63,4.63
25/02/2022,0,9.61,4.18
26/02/2022,0,9.66,3.71
27/02/2022,0,9.68,3.08
28/02/2022,3,9.72,5.86
01/03/2022,0,9.76,5.44
02/03/2022,0,9.72,5.26
03/03/2022,0,9.78,5.11
04/03/2022,0,9.83,4.97
05/03/2022,0,9.87,4.78
06/03/2022,0,9.83,4.67
07/03/2022,0,9.89,4.58
08/03/2022,21,9.95,25.72
09/03/2022,0,9.99,25.4
10/03/2022,0,10.11,25.04
11/03/2022,0,10.14,24.76
12/03/2022,0,10.18,24.47
13/03/2022,0,10.15,24.18
14/03/2022,0,10.2,23.89
15/03/2022,0,10.22,23.6
16/03/2022,0,10.26,23.31
17/03/2022,0,10.35,23.02
18/03/2022,0,10.43,22.73
19/03/2022,0,10.33,22.44
20/03/2022,0,10.31,22.16
21/03/2022,15,10.5,37.03
22/03/2022,0,10.63,36.58
23/03/2022,0,10.61,36.12
24/03/2022,0,10.65,35.67
25/03/2022,28,10.53,63.52
26/03/2022,0,10.56,62.76
27/03/2022,0,10.56,61.99
28/03/2022,0,10.56,61.22
29/03/2022,0,10.56,60.46
30/03/2022,0,10.56,59.69
31/03/2022,0,10.57,58.92
01/04/2022,0,10.57,58.16
02/04/2022,0,10.57,57.39
03/04/2022,0,10.57,56.62
04/04/2022,0,10.57,55.86
05/04/2022,0,10.57,55.09
06/04/2022,0,10.57,54.32
07/04/2022,0,10.57,53.56
08/04/2022,0,10.57,52.79
09/04/2022,0,10.57,52.02
10/04/2022,0,10.58,51.26
11/04/2022,0,10.58,50.49
12/04/2022,0,10.58,49.72
13/04/2022,0,10.58,48.96
14/04/2022,0,10.58,48.19
15/04/2022,0,10.58,47.42
16/04/2022,0,10.58,46.66
17/04/2022,0,10.58,45.89
18/04/2022,0,10.58,45.12
19/04/2022,0,10.58,44.36
20/04/2022,0,10.59,43.59
21/04/2022,0,10.59,42.82
22/04/2022,0,10.59,42.06
23/04/2022,0,10.59,41.29
24/04/2022,0,10.59,40.52
25/04/2022,0,10.59,39.76
26/04/2022,0,10.59,38.99
27/04/2022,0,10.59,38.22
28/04/2022,0,10.59,37.46
29/04/2022,0,10.59,36.69
30/04/2022,0,10.6,35.92
01/05/2022,0,10.6,35.16
02/05/2022,0,10.6,34.39
03/05/2022,0,10.6,33.62
04/05/2022,0,10.6,32.86
05/05/2022,1,10.63,33.1
06/05/2022,0,10.36,32.32
07/05/2022,0,10.09,31.54
08/05/2022,0,9.82,30.77
09/05/2022,0,9.54,29.99
10/05/2022,0,9.27,29.21
11/05/2022,0,9.0,28.43
12/05/2022,0,8.73,27.66
13/05/2022,0,8.46,26.88
14/05/2022,0,8.19,26.1
15/05/2022,0,7.92,25.32
16/05/2022,0,7.65,24.54
17/05/2022,0,7.37,23.77
18/05/2022,0,7.1,22.99
19/05/2022,0,6.83,22.19
20/05/2022,0,6.56,21.43
21/05/2022,24,7.71,44.94
22/05/2022,29,7.53,73.24
23/05/2022,8,7.93,79.99
24/05/2022,18,8.3,96.76
25/05/2022,0,8.24,95.12
26/05/2022,5,8.38,98.54
27/05/2022,0,8.41,96.86
28/05/2022,17,8.37,112.36
29/05/2022,2,8.46,112.47
30/05/2022,4,8.45,114.64
31/05/2022,0,8.53,112.73
