Station_ID,Station_Name,District,Basin,River,Division,URL,Zero_Gauge_Level(m),Warning_Level(m),Danger_Level(m),Highest_Flood_Level(m),HFL_Date,Geometry
CWCRV0025,Mankara,PALAKKAD,West flowing rivers from Tadri to Kanyakumari,Bharathapuzha,"Southern Western River Division(SWRD), Kochi",/main/station-detail/010-SWRDKOCHI,45,51.53,52.53,52.53,2018-08-16,POINT Z (76.48781513328709 10.76254070559898 0)
CWCRV0026,Muthankera,WAYANAD,Cauvery,Kabini,"Cauvery Division, Bangaluru",/main/station-detail/003-SWRDKOCHI,705,710.3,711.25,713.89,2019-08-09,POINT Z (76.11699753543824 11.84701774384331 0)
CWCRV0027,Neeleswaram,ERNAKULAM,West flowing rivers from Tadri to Kanyakumari,Periyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/012-SWRDKOCHI,-3,9,10,12.4,2018-08-19,POINT Z (76.47004149630624 10.18120131679798 0)
CWCRV0028,Nellipalli,Kollam,West flowing rivers from Tadri to Kanyakumari,Kallada,"Southern Western River Division(SWRD), Kochi",/main/station-detail/039-SWRDKOCHI,12,18,20,21.5,,POINT Z (76.9250105699863 9.028132453458085 0)
CWCRV0029,Palakadavu,THRISSUR,West flowing rivers from Tadri to Kanyakumari,Karuvannur,"Southern Western River Division(SWRD), Kochi",/main/station-detail/033-SWRDKOCHI,-1.5,4.14,5.14,6.08,2019-08-10,POINT Z (76.23681046077971 10.42441589145225 0)
CWCRV0030,Pallippady,ERNAKULAM,West flowing rivers from Tadri to Kanyakumari,Kothamangalam,"Southern Western River Division(SWRD), Kochi",/main/station-detail/034-SWRDKOCHI,15,23.8,24.8,25.5,2019-08-09,POINT Z (76.61469949911506 10.0376313327522 0)
CWCRV0031,Pattazhy,Kollam,West flowing rivers from Tadri to Kanyakumari,Kallada,"Southern Western River Division(SWRD), Kochi",/main/station-detail/019-SWRDKOCHI,-2,7,8,13.805,1992-11-15,POINT Z (76.76138988634514 9.07273936717301 0)
CWCRV0032,Perumannu,KANNUR,West flowing rivers from Tadri to Kanyakumari,Valapatnam,"Southern Western River Division(SWRD), Kochi",/main/station-detail/002-SWRDKOCHI,3.47,17.2,18.2,18.28,2019-08-09,POINT Z (75.586663935601 11.98175973954111 0)
CWCRV0033,,MALAPPURAM,West flowing rivers from Tapi to Tadri,Chaliyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/025-SWRDKOCHI,18,26.5,27.5,28.1,2018-08-14,
CWCRV0034,Pookkayam,KASARAGOD,West flowing rivers from Tadri to Kanyakumari,Chandragiri,"Southern Western River Division(SWRD), Kochi",/main/station-detail/026-SWRDKOCHI,29,36.2,37.2,,,POINT Z (75.27032686217115 12.45797820052269 0)
CWCRV0035,Pudur,PALAKKAD,West flowing rivers from Tadri to Kanyakumari,Kannadipuzha,"Southern Western River Division(SWRD), Kochi",/main/station-detail/009-SWRDKOCHI,58,63.5,64.5,65.14,2018-08-16,POINT Z (76.57568357075837 10.77770936530455 0)
CWCRV0036,Pulamanthole,PALAKKAD,West flowing rivers from Tadri to Kanyakumari,Pulanthodu,"Southern Western River Division(SWRD), Kochi",/main/station-detail/007-SWRDKOCHI,10.4,15.6,16.6,20.25,2019-08-09,POINT Z (76.19525719700152 10.89877270633148 0)
CWCRV0037,Pullakkayar,KOTTAYAM,West flowing rivers from Tapi to Tadri,Manimala,"Southern Western River Division(SWRD), Kochi",/main/station-detail/035-SWRDKOCHI,93.465,96.2,97.2,101.665,2021-10-16,POINT Z (76.88598888754055 9.57448296269042 0)
CWCRV0038,Ramamangalam,ERNAKULAM,West flowing rivers from Tapi to Tadri,Muvattupuzha,"Southern Western River Division(SWRD), Kochi",/main/station-detail/014-SWRDKOCHI,0,8,9,9.8,2019-08-17,POINT Z (76.45541456085172 9.840684549268886 0)
CWCRV0039,,KOZHIKODE,West flowing rivers from Tadri to Kanyakumari,Iruvazhinjipuzha,"Southern Western River Division(SWRD), Kochi",/main/station-detail/027-SWRDKOCHI,2,15.8,16.8,,,
CWCRV0040,Thumpamon,PATHANAMTHITTA,West flowing rivers from Tadri to Kanyakumari,Achankovil,"Southern Western River Division(SWRD), Kochi",/main/station-detail/020-SWRDKOCHI,5,9,10,13.735,1978-11-07,POINT Z (76.71114565582356 9.228958138612992 0)
CWCRV0041,Vandiperiyar,IDUKKI,West flowing rivers from Tadri to Kanyakumari,Periyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/016-SWRDKOCHI,789,794.2,795.2,797.13,2018-08-16,POINT Z (77.09009974798278 9.57380063087694 0)
CWCRV0042,Vellaikadavu,THIRUVANANTHAPURAM,West flowing rivers from Tadri to Kanyakumari,Karamana,"Southern Western River Division(SWRD), Kochi",/main/station-detail/042-SWRDKOCHI,3,9,10,14,,POINT Z (77.00433096074181 8.499138931891288 0)
CWCRV0043,Ambarampalayam,Coimbatore,West flowing rivers from Tadri to Kanyakumari,Aliyar,"Southern River Division(SRD), Coimbatore",/main/station-detail/015-SRDCBE,217,223.5,224.5,224.78,2009-08-11,POINT Z (76.94617485154171 10.63000941520873 0)
