Dam,Dam 1,Dam 2,Dam 3,Dam 4,Dam 5,Dam 6,Dam 7,Dam 8
Dam 1,,,,,,,,
Dam 2,,,,,,,,
Dam 3,,,,,,,1,
Dam 4,,,,,,,,1
Dam 5,,,,,,1,,
Dam 6,,,,,,,,
Dam 7,,,,,,,,1
Dam 8,,,,,,,,
