TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,972.45,8.84,28.38,0.0,44.54,18.0
2024-08-02,972.1,8.42,27.03,0.0,29.31,14.0
2024-08-03,971.4,7.58,24.33,0.0,22.19,4.0
2024-08-04,970.4,6.58,21.12,0.0,17.09,4.0
2024-08-05,969.45,5.63,18.07,0.0,12.94,5.0
2024-08-06,968.8,4.98,15.99,0.0,13.61,31.0
2024-08-07,968.2,4.38,14.06,0.0,11.2,0.0
2024-08-08,967.8,3.98,12.78,0.0,10.97,2.0
2024-08-09,967.5,3.68,11.81,0.0,10.28,3.0
2024-08-10,,,,,,
2024-08-11,967.0,3.18,10.21,0.0,8.07,8.0
2024-08-12,967.0,3.18,10.21,0.0,9.18,5.0
2024-08-13,967.05,3.23,10.37,0.0,9.02,14.0
2024-08-14,967.0,3.18,10.21,0.0,8.91,7.0
2024-08-15,967.05,3.23,10.37,0.0,10.58,11.0
2024-08-16,966.9,3.08,9.89,0.0,8.26,8.0
2024-08-17,967.05,3.23,10.37,0.0,11.25,43.0
2024-08-18,967.3,3.48,11.17,0.0,12.95,21.0
2024-08-19,967.35,3.53,11.33,0.0,11.01,7.0
2024-08-20,967.4,3.58,11.49,0.0,10.83,9.0
2024-08-21,967.65,3.83,12.3,0.0,12.79,52.0
2024-08-22,968.0,4.18,13.42,0.0,14.17,52.0
2024-08-23,968.1,4.28,13.74,0.0,5.67,0.0
2024-08-24,968.1,4.28,13.74,0.0,10.78,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,967.95,4.13,13.26,0.0,7.44,2.0
2024-08-29,967.9,4.08,13.1,0.0,7.01,4.0
2024-08-30,968.25,4.43,14.22,0.0,12.63,64.0
2024-08-31,968.75,4.93,15.83,0.0,16.84,32.0
2024-09-01,968.95,5.13,16.47,0.0,14.98,15.0
2024-09-02,969.1,5.28,16.95,0.0,14.41,16.0
2024-09-03,969.45,5.63,18.07,0.0,17.08,45.0
2024-09-04,969.8,5.98,19.2,0.0,17.96,20.0
2024-09-05,969.95,6.13,19.68,0.0,15.93,2.0
2024-09-06,970.05,6.23,20.0,0.0,15.08,25.0
2024-09-07,970.0,6.18,19.84,0.0,12.57,3.0
2024-09-08,969.95,6.13,19.68,0.0,11.57,14.0
2024-09-09,970.0,6.18,19.84,0.0,11.88,24.0
2024-09-10,970.35,6.53,20.96,0.0,15.49,36.0
2024-09-11,970.85,7.03,22.57,0.0,18.78,40.0
2024-09-12,971.65,7.88,25.3,0.0,25.38,39.0
2024-09-13,971.9,8.18,26.26,0.0,20.74,0.0
2024-09-14,971.9,8.18,26.26,0.0,17.08,0.0
2024-09-15,971.75,8.0,25.68,0.0,13.78,2.0
2024-09-16,971.55,7.76,24.91,0.0,11.2,0.0
2024-09-17,971.35,7.53,24.17,0.0,9.41,0.0
2024-09-18,971.15,7.33,23.53,0.0,9.2,0.0
2024-09-19,970.95,7.13,22.89,0.0,8.09,0.0
2024-09-20,970.8,6.98,22.41,0.0,6.69,0.0
2024-09-21,970.65,6.83,21.93,0.0,5.8,0.0
2024-09-22,970.55,6.73,21.61,0.0,5.97,0.0
2024-09-23,970.45,6.63,21.28,0.0,5.69,24.0
2024-09-24,970.35,6.53,20.96,0.0,5.47,7.0
2024-09-25,970.2,6.38,20.48,0.0,4.49,2.0
2024-09-26,970.1,6.28,20.16,0.0,4.56,8.0
2024-09-27,970.0,6.18,19.84,0.0,4.56,0.0
2024-09-28,969.9,6.08,19.52,0.0,4.43,3.0
2024-09-29,969.9,6.08,19.52,0.0,5.32,2.0
