TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,49.74,151.55,11.0,8.8,51.8,
2024-06-02,50.02,151.55,12.0,6.6,3.0,
2024-06-03,50.8,151.55,13.0,20.72,0.0,
2024-06-04,51.17,151.55,13.0,10.65,0.0,
2024-06-05,51.34,151.55,14.0,5.32,0.0,
2024-06-06,51.45,151.55,14.0,3.47,0.0,
2024-06-07,51.71,151.55,14.0,8.1,0.0,
2024-06-08,51.89,151.55,15.0,5.56,10.2,
2024-06-09,52.29,151.55,15.0,13.54,65.4,
2024-06-10,52.8,151.55,16.0,17.71,0.0,
2024-06-11,53.13,151.55,17.0,12.27,0.0,
2024-06-12,53.3,151.55,18.0,6.83,0.0,
2024-06-13,53.5,151.55,18.0,8.1,3.0,
2024-06-14,53.6,151.55,18.0,4.05,4.0,
2024-06-15,53.7,151.55,18.0,4.05,0.0,
2024-06-16,53.75,151.55,19.0,2.08,0.0,
2024-06-17,53.9,151.55,19.0,6.02,0.0,
2024-06-18,53.95,151.55,19.0,2.08,0.0,
2024-06-19,54.01,151.55,19.0,2.31,0.0,
2024-06-20,54.17,151.55,19.0,5.56,58.6,
2024-06-21,54.3,151.55,20.0,4.51,13.2,
2024-06-22,54.47,151.55,20.0,5.9,40.0,
2024-06-23,54.47,151.55,20.0,5.9,13.2,
2024-06-24,55.3,151.55,22.0,22.92,44.6,
2024-06-25,55.76,151.55,23.0,19.21,16.0,
2024-06-26,56.65,151.55,25.0,37.38,69.0,
2024-06-27,57.4,151.55,27.0,32.18,31.0,
2024-06-28,57.9,151.55,28.0,21.76,32.4,
2024-06-29,58.25,151.55,29.0,15.86,5.4,
2024-06-30,58.66,151.55,30.0,18.98,30.0,
2024-07-01,58.76,151.55,30.0,4.63,30.0,
2024-07-02,59.35,151.55,32.0,26.27,3.4,
2024-07-03,59.56,151.55,32.0,9.14,10.0,
2024-07-04,59.9,151.55,33.0,14.81,45.0,
2024-07-05,60.05,151.55,34.0,7.18,1.4,
2024-07-06,60.29,151.55,34.0,13.89,21.0,
2024-07-07,60.49,151.55,35.0,11.57,32.0,
2024-07-08,60.78,151.55,36.0,16.78,32.0,
2024-07-09,61.15,151.55,37.0,21.64,9.6,
2024-07-10,61.31,151.55,38.0,9.61,5.0,
2024-07-11,61.45,151.55,38.0,8.33,3.4,
2024-07-12,61.56,151.55,39.0,6.48,7.4,
2024-07-13,61.75,151.55,39.0,11.23,29.4,
2024-07-14,61.96,151.55,40.0,12.62,31.0,
2024-07-15,62.33,151.55,41.0,20.37,41.36,
2024-07-16,63.42,151.55,45.0,60.3,125.6,
2024-07-17,64.2,151.55,47.0,46.76,32.2,
2024-07-18,64.85,151.55,50.0,45.14,68.4,
2024-07-19,65.4,151.55,52.0,35.88,18.6,
2024-07-20,65.74,151.55,53.0,21.64,15.0,
2024-07-21,66.06,151.55,54.0,20.25,8.0,
2024-07-22,66.25,151.55,55.0,11.46,4.4,
2024-07-23,66.41,151.55,56.0,9.72,9.0,
2024-07-24,66.56,151.55,56.0,9.14,9.0,
2024-07-25,66.78,151.55,57.0,13.43,0.0,
2024-07-26,67.1,151.55,58.0,19.44,18.8,
2024-07-27,67.32,151.55,59.0,13.31,8.4,
2024-07-28,67.5,151.55,59.0,11.0,16.3,
2024-07-29,67.9,151.55,61.0,23.15,46.0,
2024-07-30,69.77,151.55,68.0,133.68,198.6,
2024-07-31,70.86,151.55,74.0,91.67,73.0,
2024-08-01,71.31,151.55,76.0,39.12,18.2,
2024-08-02,71.53,151.55,77.0,19.1,19.8,
2024-08-03,71.65,151.55,77.0,16.78,3.4,
2024-08-04,71.75,151.55,78.0,12.98,11.8,
2024-08-05,71.79,151.55,78.0,9.83,6.8,
2024-08-06,71.87,151.55,79.0,13.3,48.7,
2024-08-07,71.9,151.55,79.0,6.36,0.0,
2024-08-08,71.94,151.55,79.0,6.36,12.8,
2024-08-09,71.92,151.55,79.0,5.95,0.0,
2024-08-10,71.91,151.55,79.0,7.29,12.6,
2024-08-11,71.89,151.55,79.0,0.0,0.0,
2024-08-12,71.87,151.55,79.0,6.36,6.2,
2024-08-13,71.85,151.55,78.0,4.62,0.0,
2024-08-14,,,,,,
2024-08-15,71.94,151.55,79.0,8.1,1.9,
2024-08-16,,,,,,
2024-08-17,71.96,151.55,79.0,9.83,25.0,
2024-08-18,72.0,151.55,79.0,13.3,11.8,
2024-08-19,72.0,151.55,79.0,6.36,4.8,
2024-08-20,72.12,151.55,80.0,13.3,9.0,
2024-08-21,72.22,151.55,80.0,12.15,42.2,
2024-08-22,72.32,151.55,80.0,12.15,0.0,
2024-08-23,72.34,151.55,80.0,7.52,5.2,
2024-08-24,72.34,151.55,80.0,6.36,18.0,
2024-08-25,72.42,151.55,81.0,8.67,59.2,
2024-08-26,72.44,151.55,81.0,7.5,2.0,
2024-08-27,72.43,151.55,81.0,5.78,7.8,
2024-08-28,72.42,151.55,81.0,5.78,6.4,
2024-08-29,72.43,151.55,81.0,10.99,18.6,
2024-08-30,72.62,151.55,81.0,17.36,98.2,
2024-08-31,72.8,151.55,82.0,16.78,21.2,
2024-09-01,72.9,151.55,82.0,12.15,18.0,
2024-09-02,73.0,151.55,82.0,12.15,26.2,
2024-09-03,73.13,151.55,83.0,18.4,46.6,
2024-09-04,,,,,,
2024-09-05,,,,,,
2024-09-06,,,,,,
2024-09-07,,,,,,
2024-09-08,,,,,,
2024-09-09,,,,,,
2024-09-10,,,,,,
2024-09-11,,,,,,
2024-09-12,,,,,,
2024-09-13,,,,,,
2024-09-14,,,,,,
2024-09-15,,,,,,
2024-09-16,,,,,,
2024-09-17,,,,,,
2024-09-18,,,,,,
2024-09-19,,,,,,
2024-09-20,,,,,,
2024-09-21,,,,,,
2024-09-22,,,,,,
2024-09-23,,,,,,
2024-09-24,,,,,,
2024-09-25,,,,,,
2024-09-26,,,,,,
2024-09-27,,,,,,
2024-09-28,,,,,,
2024-09-29,,,,,,
2024-09-30,,,,,,
2024-10-01,,,,,,
2024-10-02,,,,,,
2024-10-03,,,,,,
2024-10-04,,,,,,
2024-10-05,,,,,,
2024-10-06,,,,,,
2024-10-07,,,,,,
2024-10-08,,,,,,
2024-10-09,,,,,,
2024-10-10,,,,,,
2024-10-11,,,,,,
2024-10-12,,,,,,
2024-10-13,,,,,,
2024-10-14,,,,,,
2024-10-15,,,,,,
2024-10-16,,,,,,
2024-10-17,,,,,,
