TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,748.7,1.5951,30.14,,,
2024-08-02,748.3,1.4402,27.21,,,
2024-08-03,748.0,1.3239,25.02,,,
2024-08-04,747.7,1.2077,22.82,,,
2024-08-05,747.5,1.1302,21.36,,,
2024-08-06,747.3,1.0527,19.89,,,
2024-08-07,747.3,1.0527,19.89,,,
2024-08-08,747.2,1.014,19.16,,,
2024-08-09,747.2,1.014,19.16,,,
2024-08-10,,,,,,
2024-08-11,747.2,0.9752,18.43,,,
2024-08-12,747.3,1.0527,19.89,,,
2024-08-13,748.0,1.3239,25.02,,,
2024-08-14,747.4,1.0915,20.63,,,
2024-08-15,747.3,1.0527,19.89,,,
2024-08-16,747.2,1.014,19.16,,,
2024-08-17,747.2,1.014,19.16,,,
2024-08-18,747.2,1.014,19.16,,,
2024-08-19,747.2,1.014,19.16,,,
2024-08-20,747.2,1.014,19.16,,,
2024-08-21,747.2,1.014,19.16,,,
2024-08-22,747.2,1.014,19.16,,,
2024-08-23,747.1,0.9752,18.43,,,
2024-08-24,747.1,0.9752,18.43,,,
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,747.0,0.9365,17.7,,,
2024-08-29,747.0,0.9365,17.7,,,
2024-08-30,747.0,0.9365,17.7,,,
2024-08-31,747.0,0.9365,17.7,,,
2024-09-01,747.1,0.9752,18.43,,,
2024-09-02,747.4,1.0915,20.63,,,
2024-09-03,747.3,1.0527,19.89,,,
2024-09-04,747.4,1.0915,20.63,,,
2024-09-05,747.2,1.014,19.16,,,
2024-09-06,747.1,0.9752,18.43,,,
2024-09-07,747.1,0.9752,18.43,,,
2024-09-08,747.1,0.9752,18.43,,,
2024-09-09,747.0,0.9365,17.7,,,
2024-09-10,747.1,0.9752,18.43,,,
2024-09-11,747.1,0.9752,18.43,,,
2024-09-12,747.1,0.9752,18.43,,,
2024-09-13,747.1,0.9752,18.43,,,
2024-09-14,747.1,0.9752,18.43,,,
2024-09-15,747.1,0.9752,18.43,,,
2024-09-16,747.0,0.9365,17.7,,,
2024-09-17,747.0,0.9365,17.7,,,
2024-09-18,747.0,0.9365,17.7,,,
2024-09-19,747.0,0.9365,17.7,,,
2024-09-20,747.0,0.9365,17.7,,,
2024-09-21,747.0,0.9365,17.7,,,
2024-09-22,747.0,0.9365,17.7,,,
2024-09-23,747.0,0.9365,17.7,,,
2024-09-24,747.0,0.9365,17.7,,,
2024-09-25,747.0,0.9365,17.7,,,
2024-09-26,747.0,0.9365,17.7,,,
2024-09-27,747.0,0.9365,17.7,,,
2024-09-28,747.0,0.9365,17.7,,,
2024-09-29,747.0,0.9365,17.7,,,
2024-09-30,747.0,0.9365,17.7,,,
2024-10-01,,,,,,
2024-10-02,,,,,,
2024-10-03,,,,,,
2024-10-04,,,,,,
2024-10-05,,,,,,
2024-10-06,,,,,,
2024-10-07,,,,,,
2024-10-08,,,,,,
2024-10-09,,,,,,
2024-10-10,,,,,,
2024-10-11,,,,,,
2024-10-12,,,,,,
2024-10-13,,,,,,
2024-10-14,,,,,,
2024-10-15,,,,,,
2024-10-16,,,,,,
2024-10-17,,,,,,
