TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,420.3,20.5,67.66,291.83,326.53,64.7
2024-08-02,419.1,17.5,57.76,204.49,224.38,17.6
2024-08-03,419.55,18.63,61.49,109.13,176.22,
2024-08-04,420.05,19.88,65.61,47.47,115.91,23.6
2024-08-05,419.85,19.38,63.96,50.82,99.31,14.8
2024-08-06,419.8,19.25,63.53,33.35,86.23,15.2
2024-08-07,419.7,19.0,62.71,28.16,79.63,0.0
2024-08-08,419.6,18.75,61.88,15.89,67.3,19.2
2024-08-09,419.55,18.63,61.49,9.24,62.05,4.0
2024-08-10,,,,,,
2024-08-11,419.4,18.25,60.23,0.5,51.74,12.8
2024-08-12,419.15,17.62,58.15,0.0,46.84,6.0
2024-08-13,419.55,18.63,61.49,0.33,65.86,61.2
2024-08-14,419.5,18.5,61.06,1.48,51.18,2.8
2024-08-15,419.6,18.75,61.88,6.78,53.01,6.4
2024-08-16,419.5,18.5,61.06,6.07,46.23,0.0
2024-08-17,419.5,18.5,61.06,1.52,44.69,20.0
2024-08-18,419.65,18.87,62.28,10.15,57.58,46.2
2024-08-19,419.5,18.5,61.06,6.31,45.11,0.0
2024-08-20,419.6,18.75,61.88,4.54,50.48,61.4
2024-08-21,419.8,19.25,63.53,14.97,63.43,65.8
2024-08-22,419.8,19.25,63.53,40.35,86.47,14.6
2024-08-23,419.65,18.87,62.28,20.1,58.83,2.0
2024-08-24,419.6,18.75,61.88,14.81,53.38,0.2
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,418.9,17.04,56.24,0.0,36.7,5.3
2024-08-29,418.85,16.93,55.87,0.0,37.45,31.4
2024-08-30,420.35,20.63,68.09,0.0,78.16,82.6
2024-08-31,420.6,21.25,70.13,73.45,140.89,22.8
2024-09-01,420.35,20.63,68.09,37.07,73.0,25.6
2024-09-02,420.4,20.75,68.48,28.49,72.3,25.4
2024-09-03,420.75,21.63,71.39,38.56,91.8,64.4
2024-09-04,420.7,21.5,70.96,74.26,115.97,16.4
2024-09-05,421.6,23.75,78.38,50.94,120.23,17.6
2024-09-06,422.6,26.25,86.63,14.74,87.79,8.2
2024-09-07,422.65,26.37,87.03,11.12,71.35,28.6
2024-09-08,422.7,26.5,87.46,1.94,58.09,3.0
2024-09-09,423.2,27.86,91.95,0.0,76.44,28.0
2024-09-10,423.05,27.4,90.43,31.38,95.38,38.0
2024-09-11,423.15,27.71,91.45,0.69,80.54,38.4
2024-09-12,423.25,28.01,92.44,0.36,77.76,54.0
2024-09-13,423.35,28.32,93.47,16.24,93.26,0.0
2024-09-14,423.2,27.86,91.95,16.87,85.18,3.6
2024-09-15,422.95,27.13,89.54,2.17,62.65,2.0
2024-09-16,422.65,26.37,87.03,0.0,52.27,0.0
2024-09-17,422.35,25.63,84.59,0.0,39.73,0.0
2024-09-18,422.05,24.88,82.11,0.0,34.62,0.0
2024-09-19,421.7,24.0,79.21,0.0,30.59,0.0
2024-09-20,421.2,22.75,75.08,0.0,24.97,0.0
2024-09-21,420.85,21.88,72.21,0.0,27.12,0.0
2024-09-22,420.35,20.63,68.09,0.0,24.44,0.8
2024-09-23,419.7,19.0,62.71,0.0,23.27,8.4
2024-09-24,419.25,17.88,59.01,0.0,29.71,45.2
2024-09-25,418.65,16.5,54.46,0.0,26.69,6.0
2024-09-26,418.6,16.39,54.09,0.0,31.14,5.8
2024-09-27,418.35,15.85,52.31,0.0,28.51,7.0
2024-09-28,417.8,14.7,48.51,0.0,25.77,0.0
2024-09-29,417.1,13.3,43.89,0.0,22.91,7.4
