TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,806.867,108.78,72.96,0.0,58.79,70.0
2024-08-02,807.141,110.87,74.36,0.0,46.7,26.0
2024-08-03,807.354,112.52,75.47,0.0,41.26,4.1
2024-08-04,807.598,114.41,76.74,0.0,41.23,7.2
2024-08-05,807.75,115.6,77.54,0.0,34.3,6.0
2024-08-06,807.903,116.79,78.34,0.0,36.39,12.2
2024-08-07,808.025,117.74,78.97,0.0,33.42,0.3
2024-08-08,808.208,119.19,79.95,0.0,39.31,19.4
2024-08-09,808.391,120.64,80.92,0.0,35.53,0.5
2024-08-10,,,,,,
2024-08-11,808.634,122.59,82.23,0.0,28.16,2.3
2024-08-12,808.756,123.57,82.88,0.0,30.99,5.3
2024-08-13,808.909,124.8,83.71,0.0,33.46,45.3
2024-08-14,809.0,125.55,84.21,0.0,27.14,2.1
2024-08-15,809.092,126.3,84.71,0.0,29.25,11.3
2024-08-16,809.183,127.04,85.21,0.0,27.52,0.0
2024-08-17,809.274,127.79,85.71,0.0,29.3,29.3
2024-08-18,809.396,128.8,86.39,0.0,31.7,27.2
2024-08-19,809.549,130.06,87.24,0.0,33.76,3.0
2024-08-20,809.762,131.87,88.45,0.0,39.22,19.0
2024-08-21,809.945,133.42,89.49,0.0,34.72,50.0
2024-08-22,810.372,137.11,91.97,0.0,62.35,31.4
2024-08-23,810.585,138.99,93.23,0.0,40.89,0.0
2024-08-24,810.677,139.81,93.78,0.0,28.07,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,811.378,146.26,98.1,0.0,24.69,7.0
2024-08-29,811.56,147.96,99.24,0.0,34.79,52.0
2024-08-30,811.652,148.81,99.81,0.0,32.09,90.2
2024-08-31,811.56,147.96,99.24,12.62,25.15,30.0
2024-09-01,811.682,149.09,100.0,0.0,17.39,55.0
2024-09-02,811.682,149.09,100.0,0.0,22.08,7.0
2024-09-03,811.682,149.09,100.0,12.31,34.66,47.0
2024-09-04,811.56,147.96,99.24,12.26,21.5,23.0
2024-09-05,811.469,147.11,98.67,1.02,13.55,1.2
2024-09-06,811.378,146.26,98.1,0.0,12.22,1.2
2024-09-07,811.347,145.98,97.91,0.0,12.69,8.1
2024-09-08,811.317,145.69,97.72,0.0,11.8,7.2
2024-09-09,811.317,145.69,97.72,0.0,14.62,16.4
2024-09-10,811.317,145.69,97.72,0.0,15.55,28.8
2024-09-11,811.286,145.41,97.53,0.0,11.22,28.3
2024-09-12,811.286,145.41,97.53,0.0,16.72,29.3
2024-09-13,811.256,145.13,97.34,0.0,11.1,2.8
2024-09-14,811.225,144.84,97.15,0.0,9.95,0.0
2024-09-15,811.225,144.84,97.15,0.0,13.72,1.0
2024-09-16,811.134,143.99,96.58,0.0,4.58,0.0
2024-09-17,811.073,143.43,96.2,0.0,8.3,0.0
2024-09-18,811.103,143.71,96.39,0.0,18.49,1.3
2024-09-19,811.134,143.99,96.58,0.0,18.82,0.0
2024-09-20,811.195,144.56,96.96,0.0,20.47,0.0
2024-09-21,811.164,144.28,96.77,0.0,10.74,0.0
2024-09-22,811.103,143.71,96.39,0.0,6.53,0.0
2024-09-23,811.042,143.15,96.02,0.0,5.9,5.0
2024-09-24,811.012,142.87,95.83,0.0,12.2,27.0
2024-09-25,810.951,142.31,95.45,0.0,6.29,5.0
2024-09-26,810.89,141.75,95.08,0.0,8.48,25.0
2024-09-27,810.829,141.18,94.7,0.0,7.88,2.0
2024-09-28,810.738,140.35,94.14,0.0,5.53,5.0
2024-09-29,810.677,139.81,93.78,0.0,7.94,1.0
