TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,23.40864,35.4033,32.37578,5.5185,,
2024-06-02,23.53056,35.940999999999995,32.86749,6.8769,,
2024-06-03,23.622,36.3655,33.25569,5.3487,,
2024-06-04,23.743920000000003,36.9032,33.74741,6.9052,,
2024-06-05,23.820120000000003,37.2428,34.05797,4.8393,,
2024-06-06,23.896320000000003,37.5824,34.36853,4.8393,,
2024-06-07,23.972520000000003,37.922,34.67909,4.9242,,
2024-06-08,24.003,38.0635,34.80849,2.547,,
2024-06-09,24.0792,38.4314,35.14493,4.6695,,
2024-06-10,24.14016,38.6861,35.37785,3.9054,,
2024-06-11,24.201120000000003,38.9408,35.61077,3.9054,,
2024-06-12,24.277320000000003,39.2804,35.92133,4.811,,
2024-06-13,24.33828,39.5634,36.18012,3.9903,,
2024-06-14,24.384,39.7615,36.36128,3.2545,,
2024-06-15,24.505920000000003,40.3275,36.87888,7.5844,,
2024-06-16,24.56688,40.6105,37.13768,4.3582,,
2024-06-17,24.56688,40.6105,37.13768,1.0188,,
2024-06-18,24.56688,40.6105,37.13768,1.0188,,
2024-06-19,24.56688,40.6105,37.13768,1.0188,,
2024-06-20,24.59736,40.752,37.26708,2.6885,,
2024-06-21,24.6888,41.2048,37.68116,6.0279,,
2024-06-22,24.74976,41.4878,37.93996,4.3582,,
2024-06-23,24.78024,41.6293,38.06936,2.6885,,
2024-06-24,24.79548,41.7142,38.147,1.8395,,
2024-06-25,24.8412,41.9123,38.32816,3.5375,,
2024-06-26,25.05456,42.9311,39.25983,12.735,,
2024-06-27,25.267920000000004,43.9499,40.19151,12.735,,
2024-06-28,25.43556,44.7423,40.91615,10.4993,,
2024-06-29,25.6032,45.5347,41.64079,10.9521,,
2024-06-30,25.7556,46.2705,42.31366,10.5276,,
2024-07-01,25.908,46.978,42.96066,10.0748,,
2024-07-02,26.07564,47.827,43.73706,11.3483,,
2024-07-03,26.258520000000004,48.7609,44.5911,13.0463,,
2024-07-04,26.30424,48.9873,44.79814,7.4146,,
2024-07-05,26.39568,49.4684,45.2381,11.1785,,
2024-07-06,26.3652,49.2986,45.08282,3.9903,,
2024-07-07,26.349960000000003,49.242,45.03106,5.7449,,
2024-07-08,26.3652,49.2986,45.08282,6.7637,,
2024-07-09,26.39568,49.4684,45.2381,8.0372,,
2024-07-10,26.563320000000004,50.3174,46.01449,12.1124,,
2024-07-11,26.578560000000003,50.4023,46.09213,5.7449,,
2024-07-12,26.70048,51.0249,46.66149,12.1124,,
2024-07-13,26.76144,51.3362,46.94617,8.5183,,
2024-07-14,26.883360000000003,51.9588,47.51553,11.2634,,
2024-07-15,27.00528,52.5814,48.08489,9.7635,,
2024-07-16,27.7368,56.4302,51.60455,46.7233,,
2024-07-17,29.19984,64.4108,58.90269,94.9748,,
2024-07-18,30.81528,73.5234,67.23602,107.9362,,
2024-07-19,32.308800000000005,82.4096,75.36232,104.9647,,
2024-07-20,33.314640000000004,88.6073,81.03002,74.25919999999999,,
2024-07-21,33.9852,92.7674,84.83437,50.5438,,
2024-07-22,34.29,94.6918,86.5942,24.5644,,
2024-07-23,35.1282,99.9556,91.40787,63.2222,,
2024-07-24,35.61588,103.1252,94.30642,39.1106,,
2024-07-25,35.92068,105.1062,96.11801,28.9509,,
2024-07-26,36.16452,106.691,97.56729,34.7241,,
2024-07-27,35.99688,105.5873,96.55797,15.8197,,
2024-07-28,36.33216,107.7664,98.55072,46.7233,,
2024-07-29,36.2712,107.3702,98.18841,22.6117,,
2024-07-30,36.48456,108.7569,99.45652,91.8335,,
2024-07-31,36.14928,106.5778,97.46377,116.9922,,
2024-08-01,36.1188,106.3797,97.28261,86.8244,,
2024-08-02,,,,,,
2024-08-03,36.08832,106.1816,97.10145,16.9517,,
2024-08-04,36.24072,107.1721,98.00725,43.3556,,
2024-08-05,36.30168,107.5683,98.36957,19.81,,
2024-08-06,36.36264,107.9645,98.73188,28.1585,,
