TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,774.6,188.35,93.71,35.01,35.01,46.2
2024-08-02,774.35,185.55,92.31,34.67,13.72,18.8
2024-08-03,774.15,183.25,91.17,33.82,18.54,28.0
2024-08-04,774.1,182.75,90.92,21.53,27.08,1.6
2024-08-05,774.0,181.65,90.37,6.13,4.75,2.8
2024-08-06,774.0,181.65,90.37,0.0,11.34,6.6
2024-08-07,774.05,182.15,90.62,0.0,17.25,0.0
2024-08-08,774.1,182.75,90.92,0.0,18.52,0.0
2024-08-09,774.1,182.75,90.92,0.0,11.69,0.0
2024-08-10,,,,,,
2024-08-11,774.1,182.75,90.92,0.0,11.92,0.0
2024-08-12,774.05,182.15,90.62,0.0,5.09,16.2
2024-08-13,774.0,181.65,90.37,0.0,6.37,37.2
2024-08-14,774.0,181.65,90.37,0.0,12.15,27.0
2024-08-15,774.0,181.65,90.37,0.0,12.27,5.8
2024-08-16,774.0,181.65,90.37,0.0,12.5,0.0
2024-08-17,773.95,180.95,90.02,0.0,4.51,12.8
2024-08-18,773.85,179.75,89.43,0.0,0.0,0.0
2024-08-19,773.8,179.05,89.08,0.0,4.63,0.0
2024-08-20,773.8,179.05,89.08,0.0,12.73,5.8
2024-08-21,773.7,177.75,88.43,0.0,0.0,0.0
2024-08-22,773.7,177.75,88.43,0.0,12.73,9.0
2024-08-23,773.6,176.35,87.74,0.0,0.0,0.0
2024-08-24,773.55,175.95,87.54,0.0,8.1,2.8
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,773.7,177.75,88.43,0.0,0.0,35.8
2024-08-29,773.75,178.15,88.63,0.0,7.87,19.4
2024-08-30,773.9,180.55,89.83,0.0,40.05,42.8
2024-08-31,774.1,182.75,90.92,0.0,37.5,27.6
2024-09-01,774.3,184.95,92.01,0.0,37.38,12.0
2024-09-02,774.35,185.55,92.31,0.0,18.87,4.0
2024-09-03,774.4,185.95,92.51,0.0,16.44,22.4
2024-09-04,774.5,187.55,93.31,0.0,20.95,20.6
2024-09-05,774.5,187.55,93.31,0.0,9.61,0.0
2024-09-06,774.5,187.55,93.31,0.0,11.92,8.2
2024-09-07,774.55,188.15,93.61,0.0,18.87,3.6
2024-09-08,774.65,189.35,94.2,0.0,25.93,7.6
2024-09-09,774.65,189.35,94.2,0.0,11.92,13.0
2024-09-10,774.75,190.55,94.8,0.0,25.81,47.0
2024-09-11,774.8,191.35,95.2,0.0,21.06,25.6
2024-09-12,774.85,191.75,95.4,0.0,16.44,14.8
2024-09-13,774.85,191.75,95.4,0.0,11.92,0.0
2024-09-14,774.85,191.75,95.4,0.0,12.15,1.4
2024-09-15,774.85,191.75,95.4,0.0,12.27,1.2
2024-09-16,774.8,191.35,95.2,0.0,7.52,0.0
2024-09-17,774.75,190.55,94.8,0.0,3.01,2.6
2024-09-18,774.7,189.75,94.4,0.0,3.24,0.0
2024-09-19,774.65,189.35,94.2,0.0,7.99,0.0
2024-09-20,774.6,188.35,93.71,0.0,0.0,0.0
2024-09-21,774.5,187.55,93.31,0.0,3.47,0.0
2024-09-22,774.45,186.15,92.61,0.0,0.0,0.0
2024-09-23,774.4,185.95,92.51,0.0,10.42,0.0
2024-09-24,774.3,184.95,92.01,0.0,1.04,6.0
2024-09-25,774.3,184.95,92.01,0.0,12.62,5.2
2024-09-26,774.25,184.25,91.67,0.0,4.51,0.0
2024-09-27,774.2,183.75,91.42,0.0,6.83,5.8
2024-09-28,774.15,183.25,91.17,0.0,6.83,3.2
2024-09-29,774.05,182.15,90.62,0.0,0.0,0.0
