TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,1598.45,51.29,93.65,42.01,29.86,23.6
2024-08-02,1598.55,51.59,94.19,11.91,15.39,6.0
2024-08-03,1598.45,51.29,93.65,11.0,7.52,1.0
2024-08-04,1598.5,51.44,93.92,11.0,12.73,3.0
2024-08-05,1598.6,51.74,94.47,11.0,14.47,1.0
2024-08-06,1598.7,52.04,95.02,11.0,14.47,13.0
2024-08-07,1598.65,51.89,94.74,11.0,9.26,1.0
2024-08-08,1598.55,51.59,94.19,11.0,7.52,8.0
2024-08-09,1598.5,51.44,93.92,11.0,9.26,5.0
2024-08-10,,,,,,
2024-08-11,1598.45,51.29,93.65,11.0,9.26,11.4
2024-08-12,1598.4,51.14,93.37,11.0,9.26,23.8
2024-08-13,1598.45,51.29,93.65,11.0,12.73,30.2
2024-08-14,1598.5,51.44,93.92,11.0,12.73,24.6
2024-08-15,1598.55,51.59,94.19,11.0,12.73,6.8
2024-08-16,1598.6,51.74,94.47,11.0,12.73,0.0
2024-08-17,1598.6,51.74,94.47,11.0,11.0,4.0
2024-08-18,1598.55,51.59,94.19,8.27,6.53,3.0
2024-08-19,1598.45,51.29,93.65,5.54,9.91,0.0
2024-08-20,1598.35,50.99,93.1,5.54,9.02,0.0
2024-08-21,1598.3,50.84,92.82,5.54,9.34,14.0
2024-08-22,1598.3,50.84,92.82,5.54,9.46,23.4
2024-08-23,1598.2,50.54,92.28,5.54,7.34,23.4
2024-08-24,1598.15,50.39,92.0,5.54,9.07,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,1598.05,50.09,91.46,5.54,11.43,3.2
2024-08-29,1598.05,50.09,91.46,5.54,11.76,7.0
2024-08-30,1598.0,49.94,91.18,5.54,9.22,35.4
2024-08-31,1598.0,49.94,91.18,5.54,10.62,25.0
2024-09-01,1598.0,49.94,91.18,5.54,11.68,5.4
2024-09-02,1598.05,50.09,91.46,5.54,13.31,2.6
2024-09-03,1598.05,50.09,91.46,5.54,11.48,10.8
2024-09-04,1598.05,50.09,91.46,5.54,11.64,2.0
2024-09-05,1598.05,50.09,91.46,5.54,11.75,0.0
2024-09-06,1598.0,49.94,91.18,5.54,10.03,0.0
2024-09-07,1598.0,49.94,91.18,5.54,11.86,4.2
2024-09-08,1598.0,49.94,91.18,5.54,11.68,2.2
2024-09-09,1598.0,49.94,91.18,5.54,11.86,4.6
2024-09-10,1598.0,49.94,91.18,5.54,9.4,14.6
2024-09-11,1598.0,49.94,91.18,5.54,11.68,8.0
2024-09-12,1597.9,49.62,90.6,5.54,8.65,6.6
2024-09-13,1597.75,49.415,90.22,5.54,8.47,0.0
2024-09-14,1597.6,48.94,89.36,5.54,6.14,0.0
2024-09-15,1597.5,48.69,88.9,5.54,8.87,1.0
2024-09-16,1597.5,48.69,88.9,5.54,11.67,0.0
2024-09-17,1597.4,48.44,88.44,0.69,3.97,0.0
2024-09-18,1597.3,48.19,87.99,0.0,3.25,1.2
2024-09-19,1597.25,48.065,87.76,0.0,4.56,0.0
2024-09-20,1597.15,47.815,87.3,0.0,3.25,0.0
2024-09-21,1597.05,47.565,86.84,0.0,2.52,0.0
2024-09-22,1597.0,47.44,86.62,0.0,3.63,0.0
2024-09-23,1596.9,47.19,86.16,0.0,2.34,4.4
2024-09-24,1596.85,47.065,85.93,0.0,1.6,1.4
2024-09-25,1596.8,46.94,85.7,0.0,3.69,0.0
2024-09-26,1596.75,46.815,85.48,0.0,3.62,0.0
2024-09-27,1596.7,46.69,85.25,0.0,2.91,1.0
