TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,67.69,94.95,13.0,1.59,2.4,
2024-06-02,67.8,94.95,14.0,4.01,97.8,
2024-06-03,67.96,94.95,14.0,5.65,40.5,
2024-06-04,68.03,94.95,14.0,2.9,1.0,
2024-06-05,68.07,94.95,15.0,1.97,4.0,
2024-06-06,68.1,94.95,15.0,1.65,3.0,
2024-06-07,68.32,94.95,15.0,7.89,95.5,
2024-06-08,68.43,94.95,16.0,4.39,14.8,
2024-06-09,68.74,94.95,17.0,11.47,64.0,
2024-06-10,68.96,94.95,17.0,8.69,20.5,
2024-06-11,69.12,94.95,18.0,6.67,22.4,
2024-06-12,69.22,94.95,18.0,4.51,1.0,
2024-06-13,69.29,94.95,18.0,3.4,2.0,
2024-06-14,69.34,94.95,19.0,2.65,0.0,
2024-06-15,69.37,94.95,19.0,1.87,0.0,
2024-06-16,69.4,94.95,19.0,1.87,0.0,
2024-06-17,69.42,94.95,19.0,1.49,0.0,
2024-06-18,69.43,94.95,19.0,1.09,0.0,
2024-06-19,69.47,94.95,19.0,2.29,8.0,
2024-06-20,67.96,94.95,14.0,5.65,8.0,
2024-06-21,69.5,94.95,19.0,1.09,5.8,
2024-06-22,69.57,94.95,19.0,3.53,38.0,
2024-06-23,69.62,94.95,20.0,2.73,38.0,
2024-06-24,69.7,94.95,20.0,3.98,11.6,
2024-06-25,69.88,94.95,21.0,8.26,46.8,
2024-06-26,70.2,94.95,22.0,14.62,43.0,
2024-06-27,70.49,94.95,23.0,13.88,21.8,
2024-06-28,70.69,94.95,24.0,10.09,21.0,
2024-06-29,70.85,94.95,25.0,8.4,13.8,
2024-06-30,71.02,94.95,25.0,9.05,21.0,
2024-07-01,71.28,94.95,27.0,12.93,27.4,
2024-07-02,71.51,94.95,28.0,13.65,11.0,
2024-07-03,71.68,94.95,29.0,9.84,19.9,
2024-07-04,71.88,94.95,30.0,11.73,61.4,
2024-07-05,72.01,94.95,30.0,8.03,0.2,
2024-07-06,72.14,94.95,31.0,8.15,20.0,
2024-07-07,72.27,94.95,32.0,8.28,33.0,
2024-07-08,72.42,94.95,32.0,9.61,11.0,
2024-07-09,72.54,94.95,33.0,7.98,2.8,
2024-07-10,72.64,94.95,34.0,6.85,6.5,
2024-07-11,72.73,94.95,34.0,6.31,2.0,
2024-07-12,72.79,94.95,34.0,4.47,1.8,
2024-07-13,72.87,94.95,35.0,5.8,16.5,
2024-07-14,73.0,94.95,36.0,9.08,16.5,
2024-07-15,73.23,94.95,37.0,15.96,36.2,
2024-07-16,74.04,94.95,42.0,58.56,118.0,
2024-07-17,74.61,94.95,46.0,45.96,33.0,
2024-07-18,75.21,94.95,51.0,53.41,102.6,
2024-07-19,75.7,94.95,56.0,48.53,19.9,
2024-07-20,76.05,94.95,59.0,37.91,22.0,
2024-07-21,76.3,94.95,62.0,31.01,4.0,
2024-07-22,76.46,94.95,63.0,17.5,0.0,
2024-07-23,76.61,94.95,65.0,18.94,10.2,
2024-07-24,76.79,94.95,67.0,23.31,29.0,
2024-07-25,77.07,94.95,70.0,37.34,29.0,
2024-07-26,77.43,94.95,75.0,50.26,65.0,
2024-07-27,77.66,94.95,78.0,30.4,65.0,
