TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,83.0,70.83,12.0,0.59,1.0,
2024-06-02,83.0,70.83,12.0,0.59,1.0,
2024-06-03,83.05,70.83,12.0,2.4,5.4,
2024-06-04,83.1,70.83,12.0,2.39,0.8,
2024-06-05,83.2,70.83,13.0,4.22,5.4,
2024-06-06,83.22,70.83,13.0,1.32,10.2,
2024-06-07,83.55,70.83,14.0,12.52,55.2,
2024-06-08,83.75,70.83,15.0,7.85,9.8,
2024-06-09,83.9,70.83,16.0,6.04,11.2,
2024-06-10,84.0,70.83,16.0,4.25,20.4,
2024-06-11,84.2,70.83,17.0,7.86,40.2,
2024-06-12,84.35,70.83,18.0,6.06,18.0,
2024-06-13,84.5,70.83,18.0,6.09,1.0,
2024-06-14,84.9,70.83,20.0,49.83,41.0,
2024-06-15,85.2,70.83,22.0,12.38,0.0,
2024-06-16,85.3,70.83,22.0,4.74,0.0,
2024-06-17,85.45,70.83,23.0,7.11,20.2,
2024-06-18,85.6,70.83,24.0,0.71,15.4,
2024-06-19,85.6,70.83,24.0,0.71,3.8,
2024-06-20,85.7,70.83,24.0,4.76,36.6,
2024-06-21,85.9,70.83,25.0,8.81,11.0,
2024-06-22,86.1,70.83,26.0,8.51,20.0,
2024-06-23,86.3,70.83,27.0,8.77,8.4,
2024-06-24,86.5,70.83,28.0,9.17,17.4,
2024-06-25,86.8,70.83,29.0,12.87,12.6,
2024-06-26,87.7,70.83,34.0,40.08,65.0,
2024-06-27,88.8,70.83,40.0,49.87,69.4,
2024-06-28,89.3,70.83,43.0,24.65,28.4,
2024-06-29,90.0,70.83,50.0,24.65,29.0,
2024-06-30,90.55,70.83,51.0,3.37,15.4,
2024-07-01,90.8,70.83,52.0,13.31,5.6,
2024-07-02,91.1,70.83,54.0,16.06,18.4,
2024-07-03,91.55,70.83,54.0,24.42,39.0,
2024-07-04,91.95,70.83,59.0,21.83,2.0,
2024-07-05,92.2,70.83,61.0,14.0,0.2,
2024-07-06,92.4,70.83,62.0,11.41,10.2,
2024-07-07,92.6,70.83,64.0,11.41,20.4,
2024-07-08,93.0,70.83,66.0,21.87,61.4,
2024-07-09,93.3,70.83,68.0,18.38,21.0,
2024-07-10,93.6,70.83,70.0,16.55,4.8,
2024-07-11,93.75,70.83,71.0,9.7,0.4,
2024-07-12,93.9,70.83,72.0,9.71,0.0,
2024-07-13,94.35,70.83,76.0,27.1,76.4,
2024-07-14,94.6,70.83,77.0,15.51,16.0,
2024-07-15,95.0,70.83,80.0,24.23,24.2,
2024-07-16,95.86,70.83,87.0,47.6,77.0,
2024-07-17,96.1,70.83,89.0,50.99,52.2,
2024-07-18,96.06,70.83,89.0,28.92,37.6,
2024-07-19,95.98,70.83,88.0,26.17,18.8,
2024-07-20,95.77,70.83,86.0,17.27,9.4,
2024-07-21,95.85,70.83,87.0,21.37,7.2,
2024-07-22,96.03,70.83,88.0,24.41,0.0,
2024-07-23,96.03,70.83,88.0,16.39,8.2,
2024-07-24,96.03,70.83,88.0,16.39,15.6,
2024-07-25,96.15,70.83,89.0,24.26,41.0,
2024-07-26,96.21,70.83,90.0,20.44,13.8,
2024-07-27,95.95,70.83,88.0,14.48,7.04,
2024-07-28,95.61,70.83,85.0,8.41,1.4,
2024-07-29,95.4,70.83,83.0,16.16,55.4,
2024-07-30,96.47,70.83,92.0,101.39,170.6,
2024-07-31,96.32,70.83,91.0,29.86,5.4,
2024-08-01,96.12,70.83,89.0,26.18,40.4,
2024-08-02,95.86,70.83,87.0,21.6,10.0,
2024-08-03,95.69,70.83,86.0,26.85,0.0,
2024-08-04,95.29,70.83,83.0,10.36,0.0,
2024-08-05,94.92,70.83,80.0,10.85,0.0,
2024-08-06,94.79,70.83,79.0,0.25,1.0,
2024-08-07,94.94,70.83,80.0,12.17,0.0,
2024-08-08,95.05,70.83,81.0,10.34,0.0,
2024-08-09,95.2,70.83,82.0,13.4,9.0,
