TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,13.859256,112.4359,91.33333,7.4712,,
2024-06-02,13.85316,112.351,91.26437,11.32,,
2024-06-03,13.21308,111.9548,90.94253,11.2634,,
2024-06-04,13.7922,111.5303,90.5977,11.2634,,
2024-06-05,13.767816000000002,111.1907,90.32184,12.2822,,
2024-06-06,13.755624,111.0209,90.18391,14.15,,
2024-06-07,13.773912,111.2756,90.3908,18.961,,
2024-06-08,13.856208,112.4076,91.31034,29.0358,,
2024-06-09,13.987272,114.1905,92.75862,70.0142,,
2024-06-10,13.850112,112.3227,91.24138,44.0631,,
2024-06-11,13.758672,111.0775,90.22989,29.1207,,
2024-06-12,13.746480000000002,110.9077,90.09195,19.81,,
2024-06-13,13.743432000000002,110.8511,90.04598,19.2723,,
2024-06-14,13.725144,110.6247,89.86207,16.0461,,
2024-06-15,13.694664,110.2002,89.51724,14.15,,
2024-06-16,13.661136,109.7474,89.14943,13.6123,,
2024-06-17,13.618464,109.1814,88.68966,12.169,,
2024-06-18,13.57884,108.6437,88.25287,12.6501,,
2024-06-19,13.542264,108.1626,87.86207,13.1312,,
2024-06-20,13.539216,108.106,87.81609,18.4799,,
2024-06-21,13.545312,108.1909,87.88506,19.8949,,
2024-06-22,13.527024,107.9362,87.67816,16.1027,,
2024-06-23,13.496544000000002,107.54,87.35632,14.2066,,
2024-06-24,13.472160000000002,107.2004,87.08046,15.1688,,
2024-06-25,13.50264,107.6249,87.42529,23.6871,,
2024-06-26,13.6398,109.4644,88.91954,40.2709,,
2024-06-27,13.92936,113.3981,92.11494,99.3613,,
2024-06-28,13.670280000000002,109.8606,89.24138,63.3071,,
2024-06-29,13.469112,107.1721,87.05747,48.5345,,
2024-06-30,13.423392,106.5495,86.55172,31.8092,,
2024-07-01,13.453872,106.974,86.89655,25.6964,,
2024-07-02,13.469112,107.1721,87.05747,21.8759,,
2024-07-03,13.478256,107.2853,87.14943,11.2634,,
2024-07-04,13.523976,107.9079,87.65517,15.9046,,
2024-07-05,13.536168,108.0777,87.7931,11.2351,,
2024-07-06,13.560552,108.389,88.04598,13.1312,,
2024-07-07,13.575792,108.6154,88.22989,11.7162,,
2024-07-08,13.581888,108.7003,88.29885,10.3295,,
2024-07-09,13.591032000000002,108.8135,88.3908,10.8106,,
2024-07-10,13.612368,109.0965,88.62069,12.7067,,
2024-07-11,13.621512,109.2097,88.71264,10.8106,,
2024-07-12,13.612368,109.0965,88.62069,9.0843,,
2024-07-13,13.630656,109.3512,88.82759,14.2915,,
2024-07-14,13.648944,109.5776,89.01149,16.2725,,
2024-07-15,13.642848,109.4927,88.94253,13.4425,,
2024-07-16,13.716,110.4832,89.74713,32.4035,,
2024-07-17,13.633704,109.3795,88.85057,19.0459,,
2024-07-18,13.661136,109.7474,89.14943,30.0263,,
2024-07-19,13.648944,109.5776,89.01149,18.395,,
2024-07-20,13.62456,109.2663,88.75862,14.999,,
2024-07-21,13.597128,108.8984,88.45977,14.5462,,
2024-07-22,13.557504,108.3607,88.02299,12.5935,,
2024-07-23,13.523976,107.9079,87.65517,13.4991,,
2024-07-24,13.478256,107.2853,87.14943,11.5464,,
2024-07-25,13.472160000000002,107.2004,87.08046,12.7067,,
2024-07-26,13.459968,107.0589,86.96552,11.037,,
2024-07-27,13.463016,107.089747,86.99057,13.4142,,
2024-07-28,13.459968,107.0589,86.96552,12.452,,
2024-07-29,13.572744000000002,108.5588,88.18391,30.4508,,
2024-07-30,13.651992,109.6342,89.05747,30.564,,
2024-07-31,13.572744000000002,108.5588,88.18391,21.1967,,
2024-08-01,13.475208,107.257,87.12644,17.6026,,
2024-08-02,,,,,,
2024-08-03,13.42644,106.6061,86.5977,16.1876,,
2024-08-04,13.4112,106.408,86.43678,9.1409,,
2024-08-05,13.402056,106.2665,86.32184,10.0748,,
2024-08-06,13.399008,106.2382,86.29885,11.0087,,
2024-08-07,13.386816,106.0684,86.16092,9.5937,,
2024-08-08,13.389864,106.125,86.2069,11.9426,,
2024-08-09,13.38072,105.9835,86.09195,10.0465,,
2024-08-10,13.377672,105.9552,86.06897,11.0087,,
2024-08-11,13.374624,105.8986,86.02299,13.4142,,
2024-08-12,13.371576,105.8703,86.0,13.7538,,
2024-08-13,13.374624,105.8986,86.02299,14.6877,,
2024-08-14,13.42644,106.6061,86.5977,22.2155,,
2024-08-15,13.432536,106.691,86.66667,15.253699999999998,,
2024-08-16,13.444728,106.8325,86.78161,16.1876,,
2024-08-17,13.444728,106.8325,86.78161,16.1876,,
2024-08-18,13.554456,108.3041,87.97701,25.187,,
2024-08-19,13.551408,108.2758,87.95402,21.8476,,
2024-08-20,13.493496000000002,107.5117,87.33333,15.9895,,
2024-08-21,13.539216,108.106,87.81609,38.0918,,
2024-08-22,13.615416000000002,109.1248,88.64368,69.618,,
2024-08-23,13.389864,106.125,86.2069,25.3851,,
2024-08-24,13.13688,102.7573,83.47126,21.3099,,
2024-08-25,13.13688,102.7573,83.47126,21.3099,,
2024-08-26,13.115544000000002,102.4743,83.24138,18.8478,,
2024-08-27,13.103352,102.3045,83.10345,16.2725,,
2024-08-28,13.100304,102.2762,83.08046,16.7253,,
2024-08-29,13.1064,102.3611,83.14943,18.112,,
2024-08-30,13.115544000000002,102.4743,83.24138,18.5931,,
2024-08-31,13.216128,103.8044,84.32184,28.1868,,
2024-09-01,13.249656,104.2572,84.68966,19.6402,,
2024-09-02,13.283184,104.6817,85.03448,20.0081,,
2024-09-03,13.313664,105.1062,85.37931,19.5553,,
2024-09-04,13.359384,105.7005,85.86207,21.8759,,
2024-09-05,13.377672,105.9552,86.06897,17.6875,,
2024-09-06,13.377672,105.9552,86.06897,17.6875,,
