TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,1198.39,17.785,35.69,0.0,11.43,6.0
2024-08-02,1198.58,18.39,36.91,0.0,7.0,6.0
2024-08-03,1198.73,18.8677,37.86,0.0,5.53,0.0
2024-08-04,1198.85,19.2499,38.63,0.0,4.42,0.0
2024-08-05,1198.93,19.5046,39.14,0.0,2.98,0.0
2024-08-06,1199.0,19.7275,39.59,0.0,2.58,0.0
2024-08-07,1199.09,20.0141,40.16,0.0,3.32,0.0
2024-08-08,1199.26,20.5555,41.25,0.0,6.27,5.0
2024-08-09,1199.3,20.6829,41.51,0.0,1.47,0.0
2024-08-10,,,,,,
2024-08-11,1199.64,21.7656,43.68,0.0,11.43,116.0
2024-08-12,1199.8,22.2751,44.7,0.0,5.9,44.0
2024-08-13,1200.12,23.2942,46.75,0.0,11.8,11.0
2024-08-14,1200.61,24.8546,49.88,0.0,18.06,86.0
2024-08-15,1200.94,25.9054,51.99,0.0,12.16,18.0
2024-08-16,1201.13,26.5105,53.2,0.0,7.0,0.0
2024-08-17,1201.3,27.0519,54.29,0.0,6.27,2.0
2024-08-18,1201.45,27.5295,55.25,0.0,5.53,4.0
2024-08-19,1201.58,27.9435,56.08,0.0,4.79,7.0
2024-08-20,1201.71,28.3575,56.91,0.0,4.79,8.0
2024-08-21,1201.85,28.8033,57.8,0.0,5.16,18.0
2024-08-22,1201.98,29.2173,58.63,0.0,4.79,6.0
2024-08-23,1202.13,29.695,59.59,0.0,5.53,0.0
2024-08-24,1202.21,29.9498,60.1,0.0,2.95,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,1202.46,30.7459,61.7,0.0,1.84,0.0
2024-08-29,1202.5,30.8733,61.96,0.0,1.47,5.0
2024-08-30,1202.57,31.0962,62.4,0.0,2.58,10.0
2024-08-31,1202.63,31.2872,62.79,0.0,2.21,8.0
2024-09-01,1202.69,31.4783,63.17,0.0,2.21,8.0
2024-09-02,1202.74,31.6375,63.49,0.0,1.84,3.0
2024-09-03,1202.79,31.7968,63.81,0.0,1.84,0.0
2024-09-04,1202.84,31.956,64.13,0.0,1.84,0.0
2024-09-05,1202.87,32.0515,64.32,0.0,1.11,0.0
2024-09-06,1202.9,32.1417,64.5,0.0,1.11,0.0
2024-09-07,1202.73,31.6057,63.43,0.0,6.27,0.0
2024-09-08,1202.94,32.2744,64.77,0.0,7.74,0.0
2024-09-09,1202.97,32.37,64.96,0.0,1.11,22.0
2024-09-10,1202.99,32.4337,65.09,0.0,0.74,8.0
2024-09-11,1203.0,32.4655,65.15,0.0,0.37,5.0
2024-09-12,1203.01,32.4973,65.22,0.0,0.37,3.0
2024-09-13,1203.01,32.4973,65.22,0.0,0.0,0.0
2024-09-14,1203.02,32.5292,65.28,0.0,0.37,0.0
2024-09-15,1203.03,32.561,65.34,0.0,0.37,0.0
2024-09-16,1203.03,32.561,65.34,0.0,0.0,0.0
2024-09-17,1203.04,32.5929,65.41,0.0,0.0,0.0
2024-09-18,1203.05,32.6247,65.47,0.0,0.37,0.0
2024-09-19,1203.06,32.6566,65.54,0.0,0.37,0.0
2024-09-20,1203.08,32.7203,65.66,0.0,0.74,0.0
2024-09-21,1203.1,32.784,65.79,0.0,0.74,0.0
2024-09-22,1203.11,32.8158,65.86,0.0,0.37,0.0
2024-09-23,1203.11,32.8158,65.86,0.0,0.0,0.0
2024-09-24,1203.12,32.8476,65.92,0.0,0.37,1.0
2024-09-25,1203.12,32.8476,65.92,0.0,0.0,0.0
2024-09-26,1203.12,32.8476,65.92,0.0,0.0,0.0
