TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,965.070944,12.4237,8.69996,3.7356,,
2024-06-02,965.750648,13.4708,9.43321,12.9331,,
2024-06-03,966.290144,14.4047,10.0872,11.2068,,
2024-06-04,966.7382,15.1971,10.64209,9.6786,,
2024-06-05,967.043,15.7348,11.01863,6.7637,,
2024-06-06,967.280744,16.131,11.29608,5.4053,,
2024-06-07,967.527632,16.5838,11.61316,5.66,,
2024-06-08,968.042744,17.517699999999998,12.26714,11.3766,,
2024-06-09,969.26804,19.81,13.87237,26.9982,,
2024-06-10,970.219016,21.7061,15.20016,22.5834,,
2024-06-11,971.063312,23.4324,16.40904,20.7156,,
2024-06-12,971.672912,24.7059,17.30083,15.282,,
2024-06-13,972.096584,25.6115,17.935,11.0087,,
2024-06-14,972.492824,26.5171,18.56916,10.9804,,
2024-06-15,972.74276,27.0831,18.96552,7.1316,,
2024-06-16,972.97136,27.5925,19.32224,6.5656,,
2024-06-17,973.172528,28.0736,19.65914,5.858099999999999,,
2024-06-18,973.312736,28.3849,19.87713,4.245,,
2024-06-19,973.510856,28.8377,20.19421,5.8015,,
2024-06-20,973.736408,29.3471,20.55093,6.6788,,
2024-06-21,974.315528,30.7055,21.50218,22.4136,,
2024-06-22,974.641664,31.4979,22.05707,9.4239,,
2024-06-23,975.24212,32.9412,23.06778,17.517699999999998,,
2024-06-24,976.650296,36.6485,25.66389,43.3556,,
2024-06-25,977.750624,39.5634,27.70511,33.677,,
2024-06-26,981.50576,50.5438,35.39437,127.0953,,
2024-06-27,985.721144,64.4957,45.16449,161.45149999999998,,
2024-06-28,987.415832,70.4104,49.30638,87.78659999999999,,
2024-06-29,988.494824,74.2875,52.0214,68.1464,,
2024-06-30,989.073944,76.41,53.50773,48.0251,,
2024-07-01,989.62868,78.5042,54.97424,47.544,,
2024-07-02,990.064544,80.1456,56.12366,47.544,,
2024-07-03,990.076736,80.1739,56.14348,23.9984,,
2024-07-04,989.94872,79.69279999999999,55.80658,30.0829,,
2024-07-05,989.717072,78.8438,55.21205,25.5266,,
2024-07-06,989.403128,77.6552,54.37971,22.4419,,
2024-07-07,989.101376,76.5232,53.587,22.1023,,
2024-07-08,988.95812,75.9855,53.21046,30.0263,,
2024-07-09,989.055656,76.3534,53.46809,32.0922,,
2024-07-10,989.086136,76.4666,53.54736,25.9511,,
2024-07-11,989.00384,76.1553,53.32937,21.0552,,
2024-07-12,988.888016,75.7025,53.01229,19.6119,,
2024-07-13,989.04956,76.32509999999999,53.44828,31.6394,,
2024-07-14,989.40008,77.62689999999999,54.35989,39.8181,,
2024-07-15,990.552224,82.26809999999999,57.60999,74.9667,,
2024-07-16,994.453664,97.6067,68.35117,205.1467,,
2024-07-17,998.156984,113.9641,79.80579,219.4099,,
2024-07-18,1001.201936,128.5669,90.03171,198.6094,,
2024-07-19,1004.316992,144.4998,101.18906,214.9102,,
2024-07-20,1004.97536,148.0656,103.68609,158.87619999999998,,
2024-07-21,1004.780288,147.0185,102.95283,121.7466,,
2024-07-22,1004.539496,145.6884,102.0214,79.3532,,
2024-07-23,1004.381,144.83939999999998,101.42687,63.392,,
2024-07-24,1004.326136,144.5281,101.20888,58.0716,,
2024-07-25,1004.35052,144.6696,101.30797,58.6376,,
2024-07-26,1004.65532,146.33929999999998,102.47721,99.5594,,
2024-07-27,1004.600456,146.028,102.25922,94.1258,,
2024-07-28,1004.393192,144.896,101.46651,64.8353,,
2024-07-29,1004.448056,145.2073,101.6845,72.6178,,
2024-07-30,1005.3716,150.2164,105.19223,175.177,,
2024-07-31,1005.11252,148.8014,104.20135,261.5203,,
2024-08-01,1005.00584,148.2354,103.80499,157.2348,,
2024-08-02,,,,,,
2024-08-03,1004.54864,145.745,102.06104,84.3057,,
2024-08-04,1004.42672,145.0941,101.60523,68.8539,,
2024-08-05,1004.326136,144.5281,101.20888,61.977,,
2024-08-06,1004.301752,144.4149,101.12961,55.2699,,
2024-08-07,1004.173736,143.7074,100.63417,52.4399,,
2024-08-08,1004.03048,142.9433,100.09909,45.3366,,
2024-08-09,1003.951232,142.5188,99.80182,46.129,,
2024-08-10,1003.78664,141.66979999999998,99.20729,35.8278,,
2024-08-11,1003.646432,140.934,98.69203,32.0073,,
2024-08-12,1003.615952,140.7925,98.59294,38.9125,,
2024-08-13,1003.670816,141.0755,98.79112,32.686499999999995,,
2024-08-14,1003.783592,141.6415,99.18748,29.715,,
2024-08-15,1003.93904,142.4622,99.76219,27.9604,,
2024-08-16,1004.006096,142.8018,100.0,22.8098,,
2024-08-17,1004.006096,142.8018,100.0,22.8098,,
2024-08-18,1004.054864,143.0565,100.17836,30.7621,,
2024-08-19,1003.993904,142.74519999999998,99.96036,31.4979,,
2024-08-20,1004.042672,142.9999,100.13872,51.0815,,
2024-08-21,1003.990856,142.71689999999998,99.94055,44.6008,,
2024-08-22,1003.83236,141.9245,99.38565,44.6574,,
2024-08-23,1003.74092,141.4434,99.04875,37.9503,,
2024-08-24,1003.731776,141.3868,99.00912,30.4508,,
2024-08-25,1003.731776,141.3868,99.00912,30.4508,,
2024-08-26,1003.765304,141.5566,99.12802,32.7431,,
2024-08-27,1003.67996,141.13209999999998,98.83076,27.6208,,
2024-08-28,1003.713488,141.3019,98.94966,23.2343,,
2024-08-29,1003.667768,141.0472,98.7713,27.8189,,
2024-08-30,1004.003048,142.8018,100.0,35.3184,,
2024-08-31,1004.32004,144.4998,101.18906,45.6762,,
2024-09-01,1004.35052,144.6696,101.30797,40.9784,,
2024-09-02,1004.201168,143.8772,100.75307,30.0829,,
2024-09-03,1004.27432,144.27339999999998,101.03052,28.9226,,
2024-09-04,1004.301752,144.4149,101.12961,32.0639,,
2024-09-05,1004.246888,144.1036,100.91161,24.4795,,
2024-09-06,1004.246888,144.1036,100.91161,24.4795,,
2024-09-07,1004.195072,143.82059999999998,100.71344,21.1118,,
2024-09-08,1004.201168,143.8772,100.75307,21.3099,,
2024-09-09,1004.176784,143.73569999999998,100.65398,18.7063,,
2024-09-10,1004.231648,144.0187,100.85216,24.6493,,
2024-09-11,1004.24384,144.1036,100.91161,25.0455,,
2024-09-12,1004.25908,144.1885,100.97107,26.8001,,
2024-09-13,1004.13716,143.5093,100.49544,21.1401,,
2024-09-14,1004.13716,143.5093,100.49544,21.1401,,
2024-09-15,1003.929896,142.4056,99.72255,18.2535,,
2024-09-16,1003.823216,141.8679,99.34602,16.8951,,
2024-09-17,1003.865888,142.066,99.48474,15.1405,,
2024-09-18,1003.743968,141.4434,99.04875,14.8292,,
2024-09-19,1003.743968,141.4434,99.04875,14.8292,,
2024-09-20,1003.487936,138.07569999999998,96.69045,17.8007,,
2024-09-21,1003.533656,140.368,98.29568,18.5365,,
2024-09-22,1003.612904,140.7642,98.57313,16.6404,,
2024-09-23,1003.667768,141.0472,98.7713,15.1688,,
2024-09-24,1003.7714,141.5849,99.14784,18.0837,,
2024-09-25,1003.890272,142.20749999999998,99.58383,18.9893,,
2024-09-26,1003.948184,142.4905,99.78201,15.3669,,
2024-09-27,1003.957328,142.5471,99.82164,12.3388,,
2024-09-28,1003.957328,142.5471,99.82164,12.3388,,
2024-09-29,1003.911608,142.3207,99.6631,10.0748,,
2024-09-30,1003.896368,142.23579999999998,99.60365,11.037,,
2024-10-01,1003.942088,142.4622,99.76219,8.9994,,
2024-10-02,1003.942088,142.4622,99.76219,8.9994,,
2024-10-03,1003.811024,141.8113,99.30638,7.358,,
2024-10-04,1003.713488,141.3019,98.94966,5.6883,,
2024-10-05,1003.600712,140.7076,98.53349,5.1789,,
2024-10-06,1003.494032,140.16989999999998,98.15696,5.5468,,
2024-10-07,1003.42088,139.7737,97.87951,7.5278,,
2024-10-08,1003.454408,139.9435,97.99841,13.8953,,
2024-10-09,1003.42088,139.7737,97.87951,8.5749,,
2024-10-10,1003.4666,140.0284,98.05787,13.018,,
2024-10-11,1003.4666,140.0284,98.05787,13.018,,
2024-10-12,1003.469648,140.0284,98.05787,12.0841,,
