TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,846.75,0.177,45.38,0.0,7.05,10.0
2024-08-02,846.15,0.035,8.97,0.0,4.84,4.0
2024-08-03,846.8,0.189,48.46,0.0,6.27,2.0
2024-08-04,846.4,0.095,24.36,0.0,5.86,0.0
2024-08-05,846.7,0.165,42.31,0.0,5.2,0.0
2024-08-06,846.4,0.1,25.64,0.0,5.02,2.4
2024-08-07,846.55,0.13,33.33,0.0,6.75,3.0
2024-08-08,846.4,0.095,24.36,0.0,4.01,8.5
2024-08-09,846.4,0.095,24.36,0.0,6.42,4.6
2024-08-10,,,,,,
2024-08-11,846.45,0.106,27.18,0.0,3.17,0.0
2024-08-12,846.6,0.142,36.41,0.0,6.02,13.2
2024-08-13,846.35,0.08,20.51,0.0,5.3,14.0
2024-08-14,846.45,0.11,28.21,0.0,5.6,12.7
2024-08-15,846.65,0.154,39.49,0.0,6.42,6.0
2024-08-16,846.6,0.142,36.41,0.0,4.96,0.0
2024-08-17,846.75,0.177,45.38,0.0,7.6,1.5
2024-08-18,846.55,0.13,33.33,0.0,9.47,3.5
2024-08-19,846.4,0.092,23.59,0.0,7.9,0.0
2024-08-20,846.5,0.118,30.26,0.0,6.96,2.1
2024-08-21,846.45,0.106,27.18,0.0,9.55,0.0
2024-08-22,846.4,0.1,25.64,0.0,9.57,6.5
2024-08-23,846.6,0.142,36.41,0.0,7.64,1.0
2024-08-24,846.4,0.095,24.36,0.0,4.15,1.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,846.55,0.13,33.33,0.0,5.89,3.5
2024-08-29,846.55,0.13,33.33,0.0,4.78,0.0
2024-08-30,846.85,0.2,51.28,0.0,7.25,17.0
2024-08-31,846.35,0.083,21.28,0.0,5.24,21.6
2024-09-01,846.55,0.13,33.33,0.0,5.44,7.5
2024-09-02,846.45,0.106,27.18,0.0,6.73,6.8
2024-09-03,846.3,0.069,17.69,0.0,4.83,5.0
2024-09-04,846.75,0.177,45.38,0.0,7.46,3.7
2024-09-05,846.65,0.154,39.49,0.0,4.27,0.0
2024-09-06,846.45,0.106,27.18,0.0,3.91,0.0
2024-09-07,846.65,0.154,39.49,0.0,7.11,1.5
2024-09-08,846.55,0.13,33.33,0.0,4.72,2.7
2024-09-09,846.7,0.165,42.31,0.0,3.92,6.0
2024-09-10,846.35,0.083,21.28,0.0,5.5,10.0
2024-09-11,846.45,0.106,27.18,0.0,5.08,8.5
2024-09-12,846.6,0.142,36.41,0.0,6.17,10.0
2024-09-13,846.5,0.118,30.26,0.0,5.0,0.0
2024-09-14,846.7,0.165,42.31,0.0,6.0,0.0
2024-09-15,846.75,0.177,45.38,0.0,4.82,0.0
2024-09-16,846.45,0.106,27.18,0.0,2.32,0.0
2024-09-17,846.45,0.106,27.18,0.0,6.05,0.0
2024-09-18,846.6,0.142,36.41,0.0,5.27,0.0
2024-09-19,846.4,0.1,25.64,0.0,4.64,0.0
2024-09-20,846.6,0.142,36.41,0.0,5.15,0.0
2024-09-21,846.4,0.095,24.36,0.0,4.04,0.0
2024-09-22,846.6,0.142,36.41,0.0,6.6,0.0
2024-09-23,846.55,0.13,33.33,0.0,4.8,3.0
2024-09-24,846.6,0.142,36.41,0.0,5.09,5.0
2024-09-25,846.4,0.095,24.36,0.0,3.4,0.5
2024-09-26,846.5,0.12,30.77,0.0,6.42,2.0
2024-09-27,846.55,0.13,33.33,0.0,4.98,0.0
2024-09-28,846.4,0.095,24.36,0.0,5.37,0.0
2024-09-29,846.45,0.106,27.18,0.0,5.13,1.2
