TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,16.666464,160.0082,17.2378,18.8761,,
2024-06-02,16.80972,163.7438,17.64024,50.9966,,
2024-06-03,16.904208,166.2625,17.91159,36.9315,,
2024-06-04,17.010888,169.1208,18.21951,39.4785,,
2024-06-05,17.077944000000002,170.9037,18.41159,27.0265,,
2024-06-06,17.111472000000003,171.83759999999998,18.5122,17.2064,,
2024-06-07,17.145,172.7432,18.60976,16.866799999999998,,
2024-06-08,17.181576,173.762,18.71951,18.1969,,
2024-06-09,17.209008,174.49779999999998,18.79878,14.9141,,
2024-06-10,17.23644,175.2619,18.8811,15.282,,
2024-06-11,17.318736,177.4976,19.12195,32.2903,,
2024-06-12,17.397984,179.70499999999998,19.35976,32.0073,,
2024-06-13,17.474184,181.8275,19.58841,31.0168,,
2024-06-14,17.532096000000003,183.4689,19.76524,25.4417,,
2024-06-15,17.590008,185.082,19.93902,25.1587,,
2024-06-16,17.64792,186.7234,20.11585,25.47,,
2024-06-17,17.696688,188.0818,20.2622,23.6305,,
2024-06-18,17.699736,188.1667,20.27134,8.886199999999999,,
2024-06-19,17.696688,188.0818,20.2622,6.9052,,
2024-06-20,17.702784,188.2799,20.28354,10.188,,
2024-06-21,17.72412,188.8742,20.34756,14.8009,,
2024-06-22,17.748504,189.5817,20.42378,16.1027,,
2024-06-23,17.791176,190.7986,20.55488,22.0174,,
2024-06-24,17.803368,191.1665,20.59451,12.169,,
2024-06-25,17.870424000000003,193.0909,20.80183,30.1961,,
2024-06-26,17.961864000000002,195.7228,21.08537,38.4031,,
2024-06-27,18.361152,207.5522,22.35976,144.9526,,
2024-06-28,19.031712,228.381,24.60366,249.2664,,
2024-06-29,19.5072,243.8894,26.27439,187.7705,,
2024-06-30,19.732752,251.5304,27.09756,96.7577,,
2024-07-01,19.958304,259.3129,27.93598,98.201,,
2024-07-02,20.159472,266.3313,28.69207,87.0791,,
2024-07-03,20.363688000000003,273.6327,29.47866,92.7108,,
2024-07-04,20.464272,277.2551,29.8689,50.1193,,
2024-07-05,20.662392000000004,284.4716,30.64634,91.7769,,
2024-07-06,20.732496,287.0186,30.92073,37.7522,,
2024-07-07,20.805648,289.7637,31.21646,40.0728,,
2024-07-08,20.866608,292.056,31.46341,34.8373,,
2024-07-09,20.930616,294.4615,31.72256,36.1674,,
2024-07-10,21.125688,301.8478,32.51829,93.8428,,
2024-07-11,21.189696,304.3099,32.78354,36.8749,,
2024-07-12,21.235416,306.0645,32.97256,47.8553,,
2024-07-13,21.19884,304.6495,32.82012,24.904,,
2024-07-14,21.253704000000003,306.772,33.04878,56.4019,,
