TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,98.48,504.92,37.0,18.75,0.0,
2024-06-02,98.35,504.92,37.0,2.06,0.0,
2024-06-03,98.34,504.92,37.0,24.16,43.0,
2024-06-04,98.38,504.92,37.0,26.07,0.0,
2024-06-05,98.44,504.92,37.0,25.41,1.0,
2024-06-06,98.47,504.92,37.0,19.89,0.0,
2024-06-07,98.51,504.92,37.0,27.34,9.2,
2024-06-08,98.55,504.92,37.0,27.78,32.5,
2024-06-09,99.32,504.92,40.0,149.68,63.0,
2024-06-10,99.85,504.92,41.0,100.92,5.0,
2024-06-11,100.14,504.92,42.0,55.92,0.0,
2024-06-12,100.24,504.92,42.0,27.12,0.0,
2024-06-13,100.35,504.92,42.0,28.38,13.0,
2024-06-14,100.39,504.92,42.0,20.32,0.0,
2024-06-15,100.39,504.92,42.0,15.72,0.0,
2024-06-16,100.37,504.92,42.0,13.4,0.0,
2024-06-17,100.34,504.92,42.0,12.24,0.0,
2024-06-18,100.29,504.92,42.0,9.89,0.0,
2024-06-19,100.26,504.92,42.0,12.17,18.0,
2024-06-20,100.3,504.92,42.0,7.56,17.0,
2024-06-21,100.31,504.92,42.0,28.39,8.0,
2024-06-22,100.34,504.92,42.0,19.16,14.0,
2024-06-23,100.39,504.92,42.0,21.5,30.0,
2024-06-24,100.49,504.92,43.0,27.32,3.0,
2024-06-25,100.66,504.92,43.0,36.2,20.0,
2024-06-26,101.18,504.92,44.0,79.65,73.0,
2024-06-27,101.88,504.92,46.0,134.67,26.0,
2024-06-28,102.34,504.92,47.0,99.29,10.0,
2024-06-29,102.67,504.92,48.0,78.31,2.0,
2024-06-30,102.92,504.92,49.0,63.7,9.0,
2024-07-01,103.09,504.92,50.0,48.01,2.0,
2024-07-02,103.28,504.92,50.0,50.69,13.0,
2024-07-03,103.39,504.92,51.0,36.89,2.0,
2024-07-04,103.41,504.92,51.0,25.87,3.0,
2024-07-05,103.34,504.92,51.0,20.75,0.0,
2024-07-06,103.41,504.92,51.0,44.83,16.0,
2024-07-07,103.39,504.92,51.0,29.38,0.0,
2024-07-08,103.36,504.92,51.0,26.02,11.0,
2024-07-09,103.48,504.92,51.0,44.01,7.0,
2024-07-10,103.56,504.92,51.0,30.09,12.0,
2024-07-11,103.62,504.92,51.0,26.67,0.0,
2024-07-12,103.66,504.92,51.0,23.24,8.0,
2024-07-13,104.3,504.92,51.0,126.41,57.0,
2024-07-14,104.72,504.92,55.0,89.54,14.0,
2024-07-15,105.05,504.92,56.0,77.09,18.0,
2024-07-16,106.04,504.92,60.0,246.42,57.0,
2024-07-17,106.68,504.92,62.0,165.91,8.0,
2024-07-18,107.19,504.92,64.0,136.26,13.0,
2024-07-19,107.47,504.92,65.0,91.91,6.0,
