TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,13.06068,24.055,21.00321,2.9998,,
2024-06-02,13.249656,24.7908,21.64566,8.857899999999999,,
2024-06-03,13.499592,25.7813,22.5105,11.7445,,
2024-06-04,13.691616000000002,26.5454,23.17766,9.2258,,
2024-06-05,13.831824,27.1397,23.69657,6.9335,,
2024-06-06,13.999464,27.8189,24.2896,8.2636,,
2024-06-07,14.389608,29.4603,25.72276,19.3855,,
2024-06-08,14.670024000000002,30.6772,26.78527,14.3764,,
2024-06-09,14.840712,31.4413,27.45243,9.0277,,
2024-06-10,15.051024000000002,32.3752,28.26785,11.2351,,
2024-06-11,15.182088000000002,32.9695,28.78676,7.188199999999999,,
2024-06-12,15.291816,33.4789,29.23153,6.1411,,
2024-06-13,15.389352,33.9317,29.62688,5.5468,,
2024-06-14,15.450312,34.2147,29.87398,3.5941,,
2024-06-15,15.489936,34.3845,30.02224,2.4621,,
2024-06-16,15.520416,34.526,30.14579,1.981,,
2024-06-17,15.550896000000002,34.6675,30.26934,1.981,,
2024-06-18,15.572232,34.7807,30.36817,1.5282,,
2024-06-19,15.599664,34.9222,30.49172,1.8678,,
2024-06-20,15.621,35.0071,30.56585,1.5282,,
2024-06-21,15.691104,35.3467,30.86237,4.2733,,
2024-06-22,15.739872,35.5731,31.06004,3.0564,,
2024-06-23,15.800832000000002,35.8844,31.33185,3.7356,,
2024-06-24,15.94104,36.5636,31.92488,8.1787,,
2024-06-25,16.142208,37.5258,32.76501,12.7916,,
2024-06-26,16.849344000000002,41.0633,35.85372,44.2046,,
2024-06-27,17.730216000000002,45.7328,39.93081,58.581,,
2024-06-28,18.251424,48.6194,42.4512,37.3843,,
2024-06-29,18.589752,50.5438,44.13146,25.5832,,
2024-06-30,18.79092,51.7324,45.16926,19.8666,,
2024-07-01,18.921984,52.520838,45.85767,16.159299999999998,,
2024-07-02,19.010376,53.0342,46.30591,14.9707,,
2024-07-03,18.961608,52.7512,46.05881,5.5185,,
2024-07-04,18.970752,52.8078,46.10823,9.5088,,
2024-07-05,18.970752,52.8078,46.10823,8.886199999999999,,
2024-07-06,18.909792,52.4399,45.787,4.6978,,
2024-07-07,18.88236,52.2984,45.66345,3.9337,,
2024-07-08,18.961608,52.7512,46.05881,5.8298,,
2024-07-09,19.010376,53.0342,46.30591,3.7639,,
2024-07-10,19.08048,53.4587,46.67655,5.207199999999999,,
2024-07-11,19.062192,53.3455,46.57771,4.811,,
2024-07-12,19.05,53.2889,46.52829,5.207199999999999,,
2024-07-13,19.089624,53.5153,46.72597,8.773,,
2024-07-14,19.120104,53.6851,46.87423,9.339,,
2024-07-15,19.619976,56.7132,49.51816,42.6198,,
2024-07-16,22.149816,73.43849999999999,64.12157,198.1849,,
2024-07-17,23.8506,85.8339,74.9444,146.7072,,
2024-07-18,25.350216000000003,97.4369,85.07536,137.7361,,
2024-07-19,26.712672,108.5022,94.73684,169.9132,,
2024-07-20,26.76144,108.8984,95.08278,132.6138,,
2024-07-21,26.880312,109.8889,95.94762,79.24,,
2024-07-22,27.151584,112.1812,97.9491,51.6475,,
2024-07-23,27.160728,112.2378,97.99852,40.8652,,
2024-07-24,27.102816,111.7567,97.57845,34.639199999999995,,
2024-07-25,27.160728,112.2378,97.99852,40.6105,,
2024-07-26,27.151584,112.1812,97.9491,82.3813,,
2024-07-27,27.060144,111.3888,97.25723,96.8143,,
2024-07-28,27.060144,111.3888,97.25723,57.3641,,
2024-07-29,27.072336,111.502,97.35607,60.9016,,
2024-07-30,27.060144,111.3888,97.25723,103.3233,,
2024-07-31,26.980896,110.7379,96.68891,114.5301,,
2024-08-01,26.910792000000004,110.1436,96.17,72.39139999999999,,
2024-08-02,,,,,,
2024-08-03,27.051,111.3322,97.20781,42.7896,,
2024-08-04,27.041856000000003,111.2473,97.13368,33.9317,,
2024-08-05,27.14244,112.0963,97.87497,32.545,,
2024-08-06,27.032712,111.1624,97.05955,28.6396,,
2024-08-07,27.121104000000003,111.9265,97.72671,31.3564,,
2024-08-08,27.111960000000003,111.8416,97.65258,25.4417,,
2024-08-09,27.111960000000003,111.8416,97.65258,20.8005,,
2024-08-10,27.111960000000003,111.8416,97.65258,18.5365,,
2024-08-11,27.14244,112.0963,97.87497,19.9798,,
2024-08-12,27.090624,111.6435,97.47961,17.7441,,
2024-08-13,26.849832000000003,109.6342,95.72523,72.9008,,
2024-08-14,26.8224,109.4078,95.52755,53.1474,,
2024-08-15,26.831544,109.4927,95.60168,42.1953,,
2024-08-16,26.8224,109.4078,95.52755,35.5731,,
2024-08-17,26.8224,109.4078,95.52755,35.5731,,
2024-08-18,26.849832000000003,109.6342,95.72523,27.5925,,
2024-08-19,26.831544,109.4927,95.60168,31.1866,,
2024-08-20,26.849832000000003,109.6342,95.72523,31.7526,,
2024-08-21,26.8224,109.4078,95.52755,40.2143,,
2024-08-22,26.8224,109.4078,95.52755,32.1488,,
2024-08-23,26.8224,109.4078,95.52755,25.8945,,
2024-08-24,26.901648,110.087,96.12058,22.2721,,
2024-08-25,26.901648,110.087,96.12058,22.2721,,
2024-08-26,27.072336,111.502,97.35607,19.81,,
2024-08-27,27.130248,111.9831,97.77613,11.7445,,
2024-08-28,27.1272,111.9831,97.77613,6.792,,
2024-08-29,27.1272,111.9831,97.77613,13.6406,,
2024-08-30,27.1272,111.9831,97.77613,11.7445,,
2024-08-31,27.1272,111.9831,97.77613,30.7338,,
2024-09-01,27.1272,111.9831,97.77613,13.3859,,
2024-09-02,27.1272,111.9831,97.77613,17.2347,,
2024-09-03,27.1272,111.9831,97.77613,14.4047,,
2024-09-04,27.1272,111.9831,97.77613,17.9422,,
2024-09-05,27.1272,111.9831,97.77613,15.5933,,
2024-09-06,27.1272,111.9831,97.77613,15.5933,,
2024-09-07,27.1272,111.9831,97.77613,7.697599999999999,,
2024-09-08,27.1272,111.9831,97.77613,5.5751,,
2024-09-09,27.1272,111.9831,97.77613,11.2351,,
2024-09-10,27.1272,111.9831,97.77613,8.0372,,
2024-09-11,27.1272,111.9831,97.77613,18.0554,,
2024-09-12,27.200352,112.5774,98.29503,13.7255,,
2024-09-13,27.252168,113.0302,98.69039,10.9804,,
2024-09-14,27.252168,113.0302,98.69039,10.9804,,
2024-09-15,27.2796,113.2849,98.91277,7.3297,,
2024-09-16,27.2796,113.2849,98.91277,7.3297,,
2024-09-17,27.2796,113.2849,98.91277,5.377,,
2024-09-18,27.2796,113.2849,98.91277,4.5563,,
2024-09-19,27.2796,113.2849,98.91277,4.5563,,
2024-09-20,27.200352,112.5774,98.29503,2.8017,,
2024-09-21,27.121104000000003,111.9265,97.72671,2.6885,,
2024-09-22,27.041856000000003,111.2473,97.13368,1.0471,,
2024-09-23,26.962608,110.5964,96.56536,1.0471,,
2024-09-24,26.880312,109.8889,95.94762,0.7641,,
2024-09-25,26.801064000000004,109.238,95.37929,1.0754,,
2024-09-26,26.721816,108.5871,94.81097,1.132,,
2024-09-27,26.642568,107.9079,94.21794,1.132,,
2024-09-28,26.560272,107.2287,93.62491,0.849,,
2024-09-29,26.200608,104.2855,91.0551,8.659799999999999,,
2024-09-30,25.850088000000003,101.4272,88.55943,13.9802,,
2024-10-01,25.560528,99.1066,86.53323,10.4993,,
2024-10-02,25.560528,99.1066,86.53323,10.4993,,
