TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,49.58,18.12,22.0,0.12,1.0,
2024-06-02,49.65,18.12,22.0,0.69,21.0,
2024-06-03,49.89,18.12,23.0,2.31,48.0,
2024-06-04,50.0,18.12,24.0,1.16,0.0,
2024-06-05,50.09,18.12,24.0,0.81,10.1,
2024-06-06,50.12,18.12,24.0,0.35,0.0,
2024-06-07,50.3,18.12,25.0,1.74,48.0,
2024-06-08,50.42,18.12,26.0,1.27,4.0,
2024-06-09,50.64,18.12,27.0,2.32,46.0,
2024-06-10,50.88,18.12,28.0,2.55,25.0,
2024-06-11,51.02,18.12,29.0,1.39,2.0,
2024-06-12,51.12,18.12,29.0,1.04,10.0,
2024-06-13,51.2,18.12,30.0,0.93,8.0,
2024-06-14,51.26,18.12,30.0,0.58,8.0,
2024-06-15,51.3,18.12,30.0,0.46,0.0,
2024-06-16,51.34,18.12,30.0,0.35,0.0,
2024-06-17,51.37,18.12,31.0,0.35,0.0,
2024-06-18,51.4,18.12,31.0,0.35,6.0,
2024-06-19,51.46,18.12,31.0,0.58,4.0,
2024-06-20,51.5,18.12,31.0,0.46,15.0,
2024-06-21,51.52,18.12,31.0,0.23,6.0,
2024-06-22,51.66,18.12,32.0,1.39,59.0,
2024-06-23,51.76,18.12,33.0,1.16,26.0,
2024-06-24,51.97,18.12,34.0,2.31,30.0,
2024-06-25,52.3,18.12,35.0,3.7,60.0,
2024-06-26,52.7,18.12,38.0,4.51,66.0,
2024-06-27,53.1,18.12,40.0,4.51,39.0,
2024-06-28,53.4,18.12,41.0,3.36,12.0,
2024-06-29,53.62,18.12,43.0,2.66,19.0,
2024-06-30,53.9,18.12,44.0,3.24,26.0,
2024-07-01,54.3,18.12,46.0,4.86,77.0,
2024-07-02,54.72,18.12,49.0,4.98,14.0,
2024-07-03,54.92,18.12,50.0,3.13,4.0,
2024-07-04,55.1,18.12,51.0,2.66,20.0,
2024-07-05,55.26,18.12,52.0,2.43,10.0,
2024-07-06,55.38,18.12,53.0,1.85,8.0,
2024-07-07,55.5,18.12,54.0,1.85,37.0,
2024-07-08,55.66,18.12,55.0,2.43,15.0,
2024-07-09,55.78,18.12,56.0,1.74,0.0,
2024-07-10,55.9,18.12,57.0,1.85,8.0,
2024-07-11,55.98,18.12,58.0,1.16,0.0,
2024-07-12,56.04,18.12,58.0,0.93,8.0,
2024-07-13,56.14,18.12,59.0,1.5,25.0,
2024-07-14,56.26,18.12,60.0,1.85,28.0,
2024-07-15,56.46,18.12,61.0,3.01,46.0,
2024-07-16,57.3,18.12,67.0,13.08,120.0,
2024-07-17,57.9,18.12,72.0,9.26,32.0,
2024-07-18,58.4,18.12,75.0,7.52,54.0,
2024-07-19,58.98,18.12,80.0,8.68,52.0,
2024-07-20,59.38,18.12,82.0,6.02,18.0,
2024-07-21,59.63,18.12,84.0,6.02,4.0,
2024-07-22,59.8,18.12,86.0,2.78,0.0,
2024-07-23,60.0,18.12,87.0,3.36,20.0,
