TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,539.004088,47.2893,12.46271,4.1035,,
2024-06-02,539.022376,47.544,12.52983,4.3865,,
2024-06-03,539.037616,47.7704,12.5895,4.1601,,
2024-06-04,539.0467600000001,47.9119,12.62679,3.1413,,
2024-06-05,539.052856,47.9968,12.64916,2.6319,,
2024-06-06,539.062,48.1383,12.68646,3.7073,,
2024-06-07,539.071144,48.2515,12.71629,3.7356,,
2024-06-08,539.083336,48.4496,12.7685,4.528,,
2024-06-09,539.09248,48.5628,12.79833,4.5846,,
2024-06-10,539.1839200000001,49.9212,13.15632,18.5082,,
2024-06-11,539.26012,51.0249,13.4472,15.848,,
2024-06-12,539.30584,51.6758,13.61874,10.7823,,
2024-06-13,539.345464,52.2701,13.77536,9.7918,,
2024-06-14,539.3515600000001,52.355,13.79773,9.2824,,
2024-06-15,539.3668,52.5814,13.8574,5.6883,,
2024-06-16,539.375944,52.7229,13.89469,4.5563,,
2024-06-17,539.38204,52.8078,13.91706,4.0752,,
2024-06-18,539.38204,52.8078,13.91706,3.0281,,
2024-06-19,539.385088,52.8644,13.93198,3.5375,,
2024-06-20,539.41252,53.2606,14.0364,7.612699999999999,,
2024-06-21,539.418616,53.3455,14.05877,4.0469,,
2024-06-22,539.433856,53.5719,14.11844,6.3958,,
2024-06-23,539.455192,53.8832,14.20048,7.4712,,
2024-06-24,539.50396,54.5624,14.37947,12.0275,,
2024-06-25,539.592352,55.8642,14.72255,18.678,,
2024-06-26,539.6167360000001,56.2038,14.81205,7.952299999999999,,
2024-06-27,540.1288,63.9863,16.86307,94.4371,,
2024-06-28,540.506752,69.7595,18.38455,71.2028,,
2024-06-29,540.689632,72.5612,19.12291,37.073,,
2024-06-30,540.8755600000001,75.4478,19.88365,39.1955,,
2024-07-01,541.08892,78.775031,20.76052,42.9311,,
2024-07-02,541.3175200000001,82.353,21.70346,43.299,,
2024-07-03,541.51564,85.466,22.52387,37.8654,,
2024-07-04,541.71376,88.6073,23.35173,38.2333,,
2024-07-05,541.86616,91.0128,23.98568,29.3188,,
2024-07-06,542.04904,93.9277,24.75388,34.9788,,
2024-07-07,542.213632,96.5313,25.44004,31.5545,,
2024-07-08,542.4087040000001,99.7009,26.27536,37.922,,
2024-07-09,542.55196,101.9932,26.87947,28.0453,,
2024-07-10,542.65864,103.7195,27.33443,21.0552,,
2024-07-11,542.75008,105.2194,27.72971,18.678,,
2024-07-12,542.835424,106.6061,28.09517,17.6592,,
2024-07-13,542.9695360000001,108.7852,28.66945,26.9416,,
2024-07-14,543.1463200000001,111.6435,29.42273,34.809,,
2024-07-15,543.37492,115.4074,30.41468,44.997,,
2024-07-16,543.99976,125.7369,33.13693,121.3504,,
2024-07-17,544.48744,133.91559999999998,35.29236,96.1351,,
2024-07-18,544.94464,141.6415,37.32846,91.2392,,
2024-07-19,545.37136,148.94289999999998,39.25268,86.0037,,
2024-07-20,546.04192,160.5176,42.3031,135.7268,,
2024-07-21,546.816112,174.1299,45.89051,158.31019999999998,,
2024-07-22,547.315984,182.9878,48.22494,103.8044,,
2024-07-23,547.7183200000001,190.2043,50.12679,84.5604,,
2024-07-24,548.06884,196.5435,51.79743,74.2875,,
2024-07-25,548.44984,203.477,53.6247,81.53229999999999,,
2024-07-26,548.99848,213.5801,56.28729,118.4638,,
2024-07-27,549.48616,222.5512,58.65155,105.1062,,
2024-07-28,549.8824,229.9658,60.60561,87.0225,,
2024-07-29,550.3396,238.569,62.87291,100.8895,,
2024-07-30,551.827024,267.0388,70.37589,331.1666,,
2024-07-31,553.11328,292.3107,77.0361,293.6691,,
2024-08-01,554.1496,313.0546,82.50298,241.5122,,
2024-08-02,,,,,,
2024-08-03,555.39928,338.5529,89.22285,124.4917,,
2024-08-04,555.7802800000001,346.4486,91.3037,92.7391,,
2024-08-05,556.094224,352.9576,93.01909,76.6081,,
2024-08-06,556.271008,356.8064,94.03341,68.0332,,
2024-08-07,556.392928,359.2119,94.66736,57.7886,,
2024-08-08,556.520944,361.9004,95.37589,56.7415,,
2024-08-09,556.624576,364.0795,95.95018,47.2327,,
2024-08-10,556.703824,365.7209,96.38276,41.2897,,
2024-08-11,556.7404,366.485,96.58413,37.639,,
2024-08-12,556.865368,369.1452,97.2852,59.3451,,
2024-08-13,556.929376,370.5036,97.6432,44.431,,
2024-08-14,556.9110880000001,370.1074,97.53878,24.3097,,
2024-08-15,556.904992,369.9659,97.50149,27.2812,,
2024-08-16,556.868416,369.2018,97.30012,18.7063,,
2024-08-17,556.868416,369.2018,97.30012,18.7063,,
2024-08-18,556.965952,371.2677,97.84457,33.6487,,
2024-08-19,556.990336,371.7771,97.97882,14.9424,,
2024-08-20,557.0452,372.9374,98.28461,26.319,,
2024-08-21,557.103112,374.1826,98.61277,20.1779,,
2024-08-22,557.1214,374.5505,98.70973,28.4981,,
2024-08-23,557.097016,374.0411,98.57548,23.0362,,
2024-08-24,557.0391040000001,372.7959,98.24732,17.0366,,
2024-08-25,557.0391040000001,372.7959,98.24732,17.0366,,
2024-08-26,556.996432,371.9186,98.01611,16.0744,,
2024-08-27,556.920232,370.3055,97.59099,16.8951,,
2024-08-28,556.883656,369.5131,97.38216,15.8763,,
2024-08-29,556.825744,368.2962,97.06146,16.3291,,
2024-08-30,556.83184,368.4377,97.09875,31.979,,
2024-08-31,556.941568,370.7583,97.71032,54.4775,,
2024-09-01,557.112256,374.3807,98.66498,57.7886,,
2024-09-02,557.133592,374.8335,98.78431,40.2709,,
2024-09-03,557.164072,375.4844,98.95585,37.1579,,
2024-09-04,557.282944,378.0031,99.61963,57.4773,,
2024-09-05,557.206744,376.39,99.19451,60.3922,,
2024-09-06,557.206744,376.39,99.19451,60.3922,,
2024-09-07,557.237224,377.0409,99.36605,39.4502,,
2024-09-08,557.295136,378.2861,99.69421,48.4779,,
2024-09-09,557.276848,377.8899,99.5898,46.129,,
2024-09-10,557.221984,376.7013,99.27655,40.3841,,
2024-09-11,557.252464,377.3522,99.44809,35.7429,,
2024-09-12,557.3042800000001,378.4842,99.74642,74.99499999999999,,
2024-09-13,557.2646560000001,377.6352,99.52267,69.6463,,
2024-09-14,557.2646560000001,377.6352,99.52267,69.6463,,
2024-09-15,557.221984,376.7013,99.27655,41.9406,,
2024-09-16,557.221984,376.7013,99.27655,42.0821,,
2024-09-17,557.255512,377.4371,99.47047,46.695,,
2024-09-18,557.24332,377.1824,99.40334,21.9608,,
2024-09-19,557.24332,377.1824,99.40334,21.9608,,
2024-09-20,557.179312,375.7957,99.03789,17.517699999999998,,
2024-09-21,557.15188,375.2297,98.88872,22.2721,,
2024-09-22,557.118352,374.4939,98.69481,21.6212,,
