TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,757.7,33.144,97.54,80.99,82.16,101.0
2024-08-02,757.89,33.6,98.88,29.5,73.21,53.0
2024-08-03,757.89,33.6,98.88,30.45,68.67,68.0
2024-08-04,757.89,33.6,98.88,0.07,38.29,13.0
2024-08-05,757.8,33.37,98.2,0.0,33.72,29.0
2024-08-06,757.67,33.07,97.32,0.0,29.51,10.0
2024-08-07,757.46,32.53,95.73,0.0,27.16,0.0
2024-08-08,757.15,31.77,93.5,0.0,24.78,8.0
2024-08-09,756.91,31.16,91.7,0.0,26.13,7.0
2024-08-10,,,,,,
2024-08-11,756.33,29.71,87.43,0.0,24.14,13.0
2024-08-12,755.97,28.8,84.76,0.0,23.85,15.0
2024-08-13,755.54,27.73,81.61,0.0,22.07,8.0
2024-08-14,755.42,27.43,80.72,0.0,33.09,114.0
2024-08-15,754.9,26.13,76.9,0.0,23.15,10.0
2024-08-16,754.35,24.76,72.87,0.0,21.13,1.0
2024-08-17,753.89,23.62,69.51,0.0,21.96,25.0
2024-08-18,753.47,22.72,66.86,0.0,24.68,33.0
2024-08-19,753.41,22.61,66.54,0.0,22.52,12.0
2024-08-20,753.41,22.61,66.54,0.0,27.18,46.0
2024-08-21,753.34,22.48,66.16,0.0,23.55,10.0
2024-08-22,753.47,22.72,66.86,0.0,25.87,36.0
2024-08-23,753.28,22.35,65.77,0.0,26.16,0.0
2024-08-24,753.25,22.29,65.6,0.0,20.28,2.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,754.04,24.0,70.63,0.0,20.71,32.0
2024-08-29,754.11,24.16,71.1,0.0,29.51,82.0
2024-08-30,754.81,25.9,76.22,0.0,43.46,129.0
2024-08-31,755.9,28.65,84.31,0.0,64.17,145.0
2024-09-01,756.33,28.65,84.31,0.0,45.63,50.0
2024-09-02,756.46,30.02,88.35,0.0,35.38,29.0
2024-09-03,756.91,31.163,91.71,0.0,46.04,86.0
2024-09-04,756.82,30.935,91.04,0.0,27.21,14.0
2024-09-05,756.7,30.629,90.14,0.0,29.18,3.0
2024-09-06,756.7,30.629,90.14,0.0,29.35,39.0
2024-09-07,756.54,30.25,89.02,0.0,28.09,10.0
2024-09-08,756.51,30.17,88.79,0.0,30.94,23.0
2024-09-09,756.67,30.55,89.91,0.0,33.97,33.0
2024-09-10,756.97,31.315,92.16,0.0,36.86,66.0
2024-09-11,757.28,32.076,94.4,0.0,36.68,36.0
2024-09-12,757.306,32.15,94.61,0.0,31.09,33.0
2024-09-13,756.91,31.163,91.71,0.0,27.11,0.0
2024-09-14,756.42,29.944,88.12,0.0,23.92,7.0
2024-09-15,756.06,29.029,85.43,0.0,22.56,10.0
2024-09-16,756.06,29.029,85.43,0.0,24.66,0.0
2024-09-17,755.72,28.192,82.97,0.0,23.96,16.0
2024-09-18,755.2,26.896,79.15,0.0,18.44,1.0
2024-09-19,754.75,25.752,75.79,0.0,19.51,1.0
2024-09-20,754.5,25.14,73.98,0.0,20.03,1.0
2024-09-21,754.17,24.308,71.54,0.0,19.36,0.0
2024-09-22,753.92,23.694,69.73,0.0,17.6,0.0
2024-09-23,754.08,24.08,70.87,0.0,25.78,14.0
2024-09-24,754.17,24.308,71.54,0.0,26.54,46.0
2024-09-25,754.23,24.46,71.98,0.0,20.94,48.0
2024-09-26,754.2,24.38,71.75,0.0,18.81,17.0
2024-09-27,754.08,24.08,70.87,0.0,24.27,6.0
2024-09-28,754.01,23.922,70.4,0.0,19.06,3.0
2024-09-29,753.83,23.466,69.06,0.0,20.38,7.0
