TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,28.68168,85.94709999999999,35.72941,6.509,,
2024-06-02,28.68168,85.94709999999999,35.72941,6.509,,
2024-06-03,28.68168,85.94709999999999,35.72941,6.509,,
2024-06-04,28.68168,85.94709999999999,35.72941,6.3392,,
2024-06-05,28.68168,85.94709999999999,35.72941,6.3392,,
2024-06-06,28.727400000000003,86.17349999999999,35.82353,7.358,,
2024-06-07,28.727400000000003,86.17349999999999,35.82353,7.358,,
2024-06-08,28.770072000000003,86.3716,35.90588,6.6788,,
2024-06-09,28.803600000000003,86.5414,35.97647,8.1787,,
2024-06-10,28.803600000000003,86.5414,35.97647,8.1787,,
2024-06-11,29.035248000000003,87.6451,36.43529,13.867,,
2024-06-12,29.187648000000003,88.3526,36.72941,14.716,,
2024-06-13,29.346144,89.1167,37.04706,15.0556,,
2024-06-14,29.498544000000003,89.82419999999999,37.34118,14.716,,
2024-06-15,29.498544000000003,89.82419999999999,37.34118,14.716,,
2024-06-16,29.757624,91.0694,37.85882,11.5464,,
2024-06-17,29.812488,91.3241,37.96471,9.3673,,
2024-06-18,29.812488,91.3241,37.96471,9.3673,,
2024-06-19,29.9466,91.9467,38.22353,10.3578,,
2024-06-20,29.995368,92.1731,38.31765,9.0277,,
2024-06-21,30.034992000000003,92.3712,38.4,8.5183,,
2024-06-22,30.068520000000003,92.541,38.47059,8.1787,,
2024-06-23,30.068520000000003,92.541,38.47059,8.1787,,
2024-06-24,30.138624,92.8523,38.6,8.3485,,
2024-06-25,30.217872000000003,93.2485,38.76471,10.6974,,
2024-06-26,30.367224,93.956,39.05882,14.5462,,
2024-06-27,30.668976000000004,95.371,39.64706,22.923,,
2024-06-28,31.287720000000004,98.3142,40.87059,40.3275,,
2024-06-29,32.089344000000004,104.0308,43.24706,72.5046,,
2024-06-30,32.089344000000004,104.0308,43.24706,72.5046,,
2024-07-01,32.089344000000004,104.0308,43.24706,72.5046,,
2024-07-02,33.046416,113.2566,47.08235,47.3459,,
2024-07-03,33.860232,121.124,50.35294,97.3803,,
2024-07-04,34.219896,124.5766,51.78824,46.6667,,
2024-07-05,34.7472,129.6706,53.90588,65.4579,,
2024-07-06,35.317176,141.4434,58.8,142.8584,,
2024-07-07,35.317176,141.4434,58.8,142.8584,,
2024-07-08,35.317176,141.4434,58.8,142.8584,,
2024-07-09,36.198048,159.6686,66.37647,67.75019999999999,,
2024-07-10,36.36264,163.06459999999998,67.78824,60.0243,,
2024-07-11,36.585144,167.64919999999998,69.69412,67.2691,,
2024-07-12,36.801552,172.1206,71.55294,58.2697,,
2024-07-13,36.97224,175.6581,73.02353,47.3459,,
2024-07-14,36.97224,175.6581,73.02353,47.3459,,
2024-07-15,36.97224,175.6581,73.02353,47.3459,,
2024-07-16,38.029896,200.0527,83.16471,245.2478,,
2024-07-17,37.447728000000005,185.4782,77.10588,364.2776,,
2024-07-18,37.447728000000005,185.4782,77.10588,363.0041,,
2024-07-19,37.435536,185.2235,77.0,302.81,,
2024-07-20,37.804344,192.9494,80.21176,373.2204,,
2024-07-21,37.719,191.0816,79.43529,468.648,,
2024-07-22,37.923216,196.685,81.76471,228.3527,,
2024-07-23,38.1762,204.6373,85.07059,206.0523,,
2024-07-24,38.319456,209.137,86.94118,166.14929999999998,,
2024-07-25,38.487096,214.4008,89.12941,262.8504,,
2024-07-26,38.730936,222.0701,92.31765,293.2729,,
2024-07-27,38.368224,210.6652,87.57647,262.8504,,
2024-07-28,38.1,202.2318,84.07059,392.7191,,
2024-07-29,38.11524,202.7129,84.27059,299.1027,,
2024-07-30,38.35908,210.3822,87.45882,215.4479,,
2024-07-31,38.718744,221.6739,92.15294,348.5711,,
2024-08-01,37.926264,196.7982,81.81176,257.4734,,
2024-08-02,,,,,,
2024-08-03,38.295072000000005,208.3729,86.62353,302.3289,,
2024-08-04,37.895784,195.836,81.41176,289.0562,,
2024-08-05,37.895784,195.836,81.41176,289.0562,,
2024-08-06,37.96284,197.9302,82.28235,146.33929999999998,,
2024-08-07,38.340792,209.8162,87.22353,194.9587,,
2024-08-08,38.651688,219.5797,91.28235,172.2055,,
2024-08-09,38.700456,221.1079,91.91765,100.2386,,
2024-08-10,38.563296,216.8063,90.12941,50.091,,
2024-08-11,38.569392,217.0044,90.21176,68.5709,,
2024-08-12,38.581584,217.3723,90.36471,66.6465,,
2024-08-13,38.669976000000005,220.1457,91.51765,89.6544,,
2024-08-14,38.77056,223.3153,92.83529,94.0975,,
2024-08-15,38.468808,213.8348,88.89412,51.5343,,
2024-08-16,38.468808,213.8348,88.89412,51.5343,,
2024-08-17,38.468808,213.8348,88.89412,51.5343,,
2024-08-18,38.87724,226.6547,94.22353,78.8438,,
2024-08-19,38.87724,226.6547,94.22353,78.8438,,
2024-08-20,38.874192,226.5698,94.18824,27.2246,,
2024-08-21,38.895528,227.249,94.47059,42.6481,,
2024-08-22,38.907720000000005,227.6169,94.62353,39.3087,,
2024-08-23,38.910768,227.7301,94.67059,35.9976,,
2024-08-24,38.886384,226.9377,94.34118,26.0077,,
2024-08-25,38.886384,226.9377,94.34118,26.0077,,
2024-08-26,38.935152,228.4942,94.98824,46.9497,,
2024-08-27,39.057072,232.3147,96.57647,61.0148,,
2024-08-28,39.145464,235.0881,97.72941,54.2794,,
2024-08-29,39.142416,235.0032,97.69412,28.2434,,
2024-08-30,39.139368,234.89,97.64706,36.5919,,
2024-08-31,39.160704,235.5692,97.92941,65.5145,,
2024-09-01,39.203376000000006,236.8993,98.48235,67.3823,,
2024-09-02,39.209472,237.0974,98.56471,64.807,,
2024-09-03,39.233856,237.8615,98.88235,66.8446,,
2024-09-04,39.209472,237.0974,98.56471,200.2791,,
2024-09-05,39.17289600000001,235.9654,98.09412,99.3896,,
2024-09-06,39.17289600000001,235.9654,98.09412,99.3896,,
2024-09-07,39.145464,235.0881,97.72941,72.7876,,
2024-09-08,39.212520000000005,237.2106,98.61176,71.9952,,
2024-09-09,39.169848,235.8522,98.04706,51.9022,,
2024-09-10,39.188136,236.4182,98.28235,63.4486,,
2024-09-11,39.246048,238.2577,99.04706,75.7591,,
2024-09-12,39.212520000000005,237.2106,98.61176,44.6291,,
2024-09-13,39.224712,237.5785,98.76471,44.2612,,
2024-09-14,39.224712,237.5785,98.76471,44.2612,,
2024-09-15,39.203376000000006,236.8993,98.48235,24.3946,,
2024-09-16,39.203376000000006,236.8993,98.48235,37.6956,,
2024-09-17,39.203376000000006,236.8993,98.48235,37.6956,,
2024-09-18,39.203376000000006,236.8993,98.48235,37.6956,,
2024-09-19,39.203376000000006,236.8993,98.48235,37.6956,,
2024-09-20,39.194232,236.6163,98.36471,32.1771,,
2024-09-21,39.111936,234.041,97.29412,7.5561,,
2024-09-22,39.04488,231.9185,96.41176,2.0093,,
2024-09-23,39.04488,231.9185,96.41176,2.0093,,
2024-09-24,38.89248,227.1358,94.42353,1.6131,,
2024-09-25,38.828472000000005,225.1265,93.58824,6.0279,,
2024-09-26,38.862,226.1736,94.02353,41.5161,,
2024-09-27,38.9382,228.5791,95.02353,57.0245,,
2024-09-28,38.986968,230.1073,95.65882,47.0629,,
2024-09-29,38.986968,230.1073,95.65882,47.0629,,
2024-09-30,39.026592,231.3525,96.17647,27.1114,,
2024-10-01,39.008304,230.7865,95.94118,22.6683,,
2024-10-02,39.008304,230.7865,95.94118,22.6683,,
2024-10-03,39.005256,230.6733,95.89412,28.1019,,
2024-10-04,38.895528,227.249,94.47059,4.9242,,
2024-10-05,38.81628,224.7586,93.43529,3.3394,,
2024-10-06,38.737032000000006,222.2682,92.4,3.3394,,
2024-10-07,38.737032000000006,222.2682,92.4,3.3394,,
2024-10-08,38.593776000000005,217.7685,90.52941,3.3394,,
2024-10-09,38.49624,214.6838,89.24706,2.3489,,
2024-10-10,38.383464,211.1463,87.77647,2.4621,,
2024-10-11,38.383464,211.1463,87.77647,2.4621,,
2024-10-12,38.383464,211.1463,87.77647,2.4621,,
2024-10-13,38.383464,211.1463,87.77647,2.4621,,
2024-10-14,38.0238,199.8546,83.08235,7.1599,,
2024-10-15,38.075616,201.4677,83.75294,42.3934,,
2024-10-16,38.075616,201.4677,83.75294,42.3934,,
2024-10-17,38.075616,201.4677,83.75294,42.3934,,
