TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,93.29,50.91,20.0,0.46,0.0,
2024-06-02,93.29,50.91,20.0,0.0,0.0,
2024-06-03,93.77,50.91,22.0,10.88,73.0,
2024-06-04,93.84,50.91,22.0,1.5,0.0,
2024-06-05,93.84,50.91,22.0,0.0,0.0,
2024-06-06,93.85,50.91,22.0,0.23,0.0,
2024-06-07,93.88,50.91,23.0,0.58,34.0,
2024-06-08,93.9,50.91,23.0,0.57,3.0,
2024-06-09,94.35,50.91,24.0,10.3,47.0,
2024-06-10,94.46,50.91,25.0,2.66,8.0,
2024-06-11,94.56,50.91,25.0,1.33,18.0,
2024-06-12,94.61,50.91,25.0,1.58,0.0,
2024-06-13,94.68,50.91,26.0,1.62,0.0,
2024-06-14,94.72,50.91,26.0,0.92,0.0,
2024-06-15,94.75,50.91,26.0,0.35,13.0,
2024-06-16,94.76,50.91,26.0,0.23,0.0,
2024-06-17,94.77,50.91,26.0,0.35,0.0,
2024-06-18,94.77,50.91,26.0,0.0,0.0,
2024-06-19,94.79,50.91,26.0,0.46,18.0,
2024-06-20,94.79,50.91,26.0,0.0,0.0,
2024-06-21,94.79,50.91,26.0,0.0,0.0,
2024-06-22,94.8,50.91,26.0,0.23,22.0,
2024-06-23,94.86,50.91,26.0,1.27,6.0,
2024-06-24,94.92,50.91,27.0,1.39,22.0,
2024-06-25,95.09,50.91,27.0,6.92,48.0,
2024-06-26,95.45,50.91,29.0,8.68,53.0,
2024-06-27,95.69,50.91,30.0,6.25,18.0,
2024-06-28,95.93,50.91,31.0,6.02,28.0,
2024-06-29,96.06,50.91,31.0,3.12,0.0,
2024-06-30,96.14,50.91,32.0,2.2,19.0,
2024-07-01,96.32,50.91,33.0,4.74,38.0,
2024-07-02,96.45,50.91,33.0,3.7,0.0,
2024-07-03,96.52,50.91,34.0,1.96,0.0,
2024-07-04,96.66,50.91,34.0,3.93,26.0,
2024-07-05,96.75,50.91,35.0,2.43,0.0,
2024-07-06,96.77,50.91,35.0,0.69,3.0,
2024-07-07,96.9,50.91,35.0,3.36,33.0,
2024-07-08,97.08,50.91,36.0,4.98,28.0,
2024-07-09,97.25,50.91,37.0,4.86,6.0,
2024-07-10,97.37,50.91,38.0,3.93,5.0,
2024-07-11,97.45,50.91,38.0,2.08,0.0,
2024-07-12,97.51,50.91,38.0,1.62,0.0,
2024-07-13,97.55,50.91,38.0,1.58,5.0,
2024-07-14,97.77,50.91,40.0,6.25,38.0,
2024-07-15,98.21,50.91,42.0,13.08,55.0,
2024-07-16,99.36,50.91,48.0,34.49,128.0,
2024-07-17,100.02,50.91,51.0,21.06,41.0,
2024-07-18,100.65,50.91,55.0,20.72,60.0,
2024-07-19,101.21,50.91,58.0,18.75,42.0,
2024-07-20,101.65,50.91,60.0,14.58,23.0,
2024-07-21,101.8,50.91,61.0,5.09,5.0,
2024-07-22,101.95,50.91,62.0,4.86,0.0,
2024-07-23,102.09,50.91,63.0,4.98,5.5,
2024-07-24,102.25,50.91,64.0,5.55,39.0,
2024-07-25,102.67,50.91,66.0,14.81,55.0,
2024-07-26,103.17,50.91,69.0,16.75,59.0,
2024-07-27,103.38,50.91,70.0,7.75,0.0,
2024-07-28,103.56,50.91,72.0,6.13,14.0,
2024-07-29,103.84,50.91,72.0,9.95,37.0,
2024-07-30,106.02,50.91,86.0,78.24,255.0,
2024-07-31,106.9,50.91,92.0,32.06,35.0,
2024-08-01,107.16,50.91,94.0,33.49,49.0,
2024-08-02,106.93,50.91,92.0,8.44,3.5,
2024-08-03,106.81,50.91,91.0,19.72,17.0,
2024-08-04,106.81,50.91,91.0,11.19,11.0,
2024-08-05,106.75,50.91,91.0,2.5,0.0,
2024-08-06,106.8,50.91,91.0,5.85,2.0,
2024-08-07,106.84,50.91,92.0,5.5,0.0,
2024-08-08,106.87,50.91,92.0,5.16,7.0,
2024-08-09,106.87,50.91,92.0,4.0,0.0,
2024-08-10,106.87,50.91,92.0,4.0,1.0,
2024-08-11,106.89,50.91,92.0,4.69,0.0,
2024-08-12,106.89,50.91,92.0,4.0,8.0,
2024-08-13,106.87,50.91,92.0,3.31,0.0,
2024-08-14,,,,,,
2024-08-15,106.9,50.91,92.0,4.0,3.0,
2024-08-16,,,,,,
2024-08-17,106.9,50.91,92.0,4.0,8.0,
2024-08-18,106.9,50.91,92.0,4.0,0.0,
2024-08-19,106.9,50.91,92.0,4.0,0.0,
