TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,253.0,4.55,100.0,259.54,353.18,29.0
2024-08-02,253.0,4.55,100.0,133.99,231.86,16.0
2024-08-03,253.0,4.55,100.0,86.74,184.75,7.0
2024-08-04,253.0,4.55,100.0,66.99,165.08,4.0
2024-08-05,253.0,4.55,100.0,47.34,144.98,12.0
2024-08-06,253.0,4.55,100.0,40.2,137.64,37.0
2024-08-07,253.0,4.55,100.0,17.59,115.06,0.0
2024-08-08,252.9,4.507,99.05,20.01,116.95,19.0
2024-08-09,252.8,4.464,98.11,9.68,106.67,2.0
2024-08-10,,,,,,
2024-08-11,251.5,3.91,85.93,0.0,90.0,6.0
2024-08-12,253.0,4.55,100.0,23.99,124.56,58.0
2024-08-13,253.0,4.55,100.0,32.78,125.94,7.0
2024-08-14,253.0,4.55,100.0,38.96,136.07,34.0
2024-08-15,253.0,4.55,100.0,47.8,145.14,5.0
2024-08-16,252.9,4.507,99.05,10.79,107.6,2.0
2024-08-17,253.0,4.55,100.0,0.0,97.73,16.0
2024-08-18,251.8,4.036,88.7,0.0,90.96,4.0
2024-08-19,250.2,3.372,74.11,0.0,88.02,1.0
2024-08-20,249.1,2.939,64.59,0.0,86.97,6.0
2024-08-21,248.0,2.51,55.16,0.0,85.43,17.0
2024-08-22,251.2,3.784,83.16,0.0,105.95,12.0
2024-08-23,248.5,2.705,59.45,0.0,82.08,0.0
2024-08-24,247.0,2.2,48.35,0.0,74.93,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,245.9,1.872,41.14,0.0,56.85,14.0
2024-08-29,248.2,2.588,56.88,0.0,70.68,52.0
2024-08-30,248.6,2.74,60.22,0.0,76.84,51.0
2024-08-31,253.0,4.55,100.0,25.34,141.94,23.0
2024-09-01,253.0,4.55,100.0,25.82,122.66,45.0
2024-09-02,253.0,4.55,100.0,17.45,114.19,34.0
2024-09-03,253.0,4.55,100.0,14.35,111.19,29.0
2024-09-04,252.8,4.464,98.11,22.34,117.93,13.0
2024-09-05,251.2,3.784,83.16,0.0,88.49,4.0
2024-09-06,248.3,2.627,57.74,0.0,79.87,4.0
2024-09-07,248.7,2.783,61.16,0.0,85.39,7.0
2024-09-08,248.3,2.627,57.74,0.0,81.45,42.0
2024-09-09,247.9,2.479,54.48,0.0,79.91,30.0
2024-09-10,250.8,3.618,79.52,0.0,94.04,32.0
2024-09-11,250.7,3.577,78.62,0.0,91.26,57.0
2024-09-12,251.9,4.078,89.63,0.0,100.02,54.0
2024-09-13,249.6,3.134,68.88,0.0,84.38,0.0
2024-09-14,249.0,2.9,63.74,0.0,85.45,0.0
2024-09-15,249.9,3.251,71.45,0.0,71.16,0.0
2024-09-16,248.2,2.588,56.88,0.0,72.17,0.0
2024-09-17,247.9,2.479,54.48,0.0,61.64,0.0
2024-09-18,249.7,3.173,69.74,0.0,63.44,6.0
2024-09-19,249.6,3.13,68.79,0.0,62.87,0.0
2024-09-20,248.2,2.588,56.88,0.0,47.5,0.0
2024-09-21,249.9,3.251,71.45,0.0,55.66,0.0
2024-09-22,248.7,2.783,61.16,0.0,44.73,1.0
2024-09-23,248.2,2.588,56.88,0.0,48.02,6.0
2024-09-24,249.1,2.939,64.59,0.0,58.87,11.0
2024-09-25,249.1,2.939,64.59,0.0,41.0,2.0
2024-09-26,250.0,3.29,72.31,0.0,48.48,24.0
2024-09-27,249.2,2.978,65.45,0.0,43.1,0.0
2024-09-28,249.4,3.056,67.16,0.0,43.89,0.0
2024-09-29,249.6,3.134,68.88,0.0,47.36,4.0
