TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,40.58,37.0,86.0,242.39,112.8,
2024-06-02,39.5,37.0,77.0,109.78,0.6,
2024-06-03,40.06,37.0,81.0,116.22,59.2,
2024-06-04,39.9,37.0,81.0,146.48,0.2,
2024-06-05,39.7,37.0,79.0,118.8,4.8,
2024-06-06,39.96,37.0,81.0,84.64,10.0,
2024-06-07,39.76,37.0,79.0,113.86,15.4,
2024-06-08,39.52,37.0,77.0,73.74,29.8,
2024-06-09,39.74,37.0,79.0,52.69,29.4,
2024-06-10,39.86,37.0,80.0,76.25,10.0,
2024-06-11,39.8,37.0,79.0,73.94,3.0,
2024-06-12,39.68,37.0,79.0,41.39,3.0,
2024-06-13,39.5,37.0,77.0,109.78,3.0,
2024-06-14,39.72,37.0,79.0,64.46,0.0,
2024-06-15,40.38,37.0,84.0,76.54,0.0,
2024-06-16,40.16,37.0,82.0,64.23,0.0,
2024-06-17,40.48,37.0,85.0,148.55,0.0,
2024-06-18,40.22,37.0,83.0,119.74,0.0,
2024-06-19,39.34,37.0,76.0,69.4,26.4,
2024-06-20,39.7,37.0,79.0,58.42,30.8,
2024-06-21,39.84,37.0,80.0,84.68,29.6,
2024-06-22,39.84,37.0,80.0,80.28,29.2,
2024-06-23,39.54,37.0,77.0,52.88,33.4,
2024-06-24,39.64,37.0,78.0,71.25,33.6,
2024-06-25,40.08,37.0,82.0,73.06,43.4,
2024-06-26,39.34,37.0,76.0,33.86,75.3,
2024-06-27,39.44,37.0,76.0,95.99,39.6,
2024-06-28,39.46,37.0,77.0,88.12,8.4,
2024-06-29,39.12,37.0,74.0,45.99,12.1,
2024-06-30,39.72,37.0,79.0,58.45,16.2,
2024-07-01,39.98,37.0,81.0,118.58,27.2,
2024-07-02,39.5,37.0,77.0,117.02,23.6,
2024-07-03,39.8,37.0,79.0,91.55,1.3,
2024-07-04,39.38,37.0,76.0,66.34,16.0,
2024-07-05,40.12,37.0,82.0,130.97,0.0,
2024-07-06,39.28,37.0,75.0,68.56,0.0,
2024-07-07,39.88,37.0,80.0,80.91,4.2,
2024-07-08,39.52,37.0,77.0,39.26,28.0,
2024-07-09,39.38,37.0,76.0,67.51,6.0,
2024-07-10,39.84,37.0,80.0,113.05,4.4,
2024-07-11,39.98,37.0,81.0,122.81,1.2,
2024-07-12,39.7,37.0,79.0,119.78,2.0,
2024-07-13,39.32,37.0,75.0,21.76,34.8,
2024-07-14,39.56,37.0,77.0,82.0,48.3,
