TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,102.79,226.0,15.0,0.0,0.0,
2024-06-02,102.78,226.0,15.0,0.0,0.0,
2024-06-03,102.78,226.0,15.0,0.96,0.0,
2024-06-04,102.81,226.0,15.0,3.68,23.5,
2024-06-05,102.81,226.0,15.0,0.96,0.0,
2024-06-06,102.81,226.0,15.0,0.96,0.9,
2024-06-07,102.84,226.0,15.0,4.64,32.6,
2024-06-08,102.85,226.0,15.0,1.87,4.1,
2024-06-09,102.9,226.0,15.0,5.49,17.8,
2024-06-10,102.95,226.0,15.0,5.5,14.4,
2024-06-11,103.04,226.0,16.0,9.13,16.6,
2024-06-12,103.14,226.0,16.0,9.55,38.6,
2024-06-13,103.22,226.0,16.0,9.38,17.6,
2024-06-14,103.27,226.0,16.0,4.38,3.0,
2024-06-15,103.28,226.0,16.0,2.34,0.0,
2024-06-16,103.3,226.0,16.0,2.32,0.0,
2024-06-17,103.31,226.0,16.0,0.96,0.0,
2024-06-18,103.31,226.0,16.0,0.96,0.0,
2024-06-19,103.34,226.0,17.0,3.69,13.4,
2024-06-20,103.39,226.0,17.0,5.51,15.4,
2024-06-21,103.42,226.0,17.0,3.91,3.0,
2024-06-22,103.45,226.0,17.0,4.03,3.6,
2024-06-23,103.48,226.0,17.0,4.02,2.08,
2024-06-24,103.68,226.0,18.0,22.22,32.4,
2024-06-25,103.88,226.0,19.0,23.24,40.0,
2024-06-26,104.24,226.0,20.0,39.28,41.8,
2024-06-27,104.64,226.0,22.0,44.39,22.1,
2024-06-28,104.82,226.0,23.0,22.7,9.3,
2024-06-29,105.14,226.0,24.0,40.65,34.4,
2024-06-30,105.29,226.0,25.0,20.19,3.8,
2024-07-01,105.4,226.0,25.0,15.07,9.6,
2024-07-02,105.48,226.0,26.0,11.24,9.8,
2024-07-03,105.66,226.0,27.0,24.1,25.4,
2024-07-04,105.86,226.0,28.0,26.68,13.6,
2024-07-05,105.95,226.0,28.0,12.85,0.8,
2024-07-06,106.04,226.0,29.0,13.1,4.4,
2024-07-07,106.13,226.0,29.0,13.28,12.4,
2024-07-08,106.22,226.0,30.0,13.66,13.4,
2024-07-09,106.36,226.0,30.0,20.71,2.4,
2024-07-10,106.44,226.0,31.0,12.25,8.2,
2024-07-11,106.5,226.0,31.0,10.25,0.0,
2024-07-12,106.56,226.0,31.0,9.16,0.6,
2024-07-13,106.71,226.0,32.0,21.45,57.3,
2024-07-14,106.85,226.0,33.0,20.09,12.2,
2024-07-15,107.14,226.0,35.0,43.89,54.2,
2024-07-16,107.67,226.0,38.0,85.92,92.8,
2024-07-17,108.17,226.0,41.0,81.16,50.6,
2024-07-18,108.59,226.0,44.0,68.27,50.4,
2024-07-19,109.0,226.0,46.0,69.7,36.4,
2024-07-20,109.33,226.0,49.0,64.4,24.4,
2024-07-21,109.59,226.0,50.0,50.85,5.8,
2024-07-22,109.79,226.0,52.0,39.22,0.7,
2024-07-23,109.94,226.0,53.0,29.65,22.6,
2024-07-24,110.11,226.0,54.0,33.1,15.6,
2024-07-25,110.32,226.0,56.0,43.27,30.8,
2024-07-26,110.55,226.0,58.0,45.94,24.0,
2024-07-27,110.86,226.0,60.0,60.91,24.5,
2024-07-28,111.01,226.0,61.0,29.91,6.2,
2024-07-29,111.18,226.0,62.0,39.11,26.8,
2024-07-30,111.77,226.0,67.0,132.33,162.8,
2024-07-31,112.04,226.0,70.0,58.07,7.2,
2024-08-01,112.29,226.0,72.0,56.3,38.4,
