TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,2365.22Ft,866.281,59.36,0.0,338.85,20.0
2024-08-02,2366.24Ft,880.773,60.35,0.0,259.19,19.4
2024-08-03,2366.90Ft,890.136,60.99,0.0,207.96,11.0
2024-08-04,2367.26,895.251,61.34,0.0,159.31,10.0
2024-08-05,2367.54Ft,899.231,61.61,0.0,135.64,24.0
2024-08-06,2367.58Ft,899.8,61.65,0.0,116.99,3.8
2024-08-07,2367.64Ft,900.653,61.71,0.0,109.99,0.8
2024-08-08,2367.64Ft,900.653,61.71,0.0,106.78,23.0
2024-08-09,2367.66Ft,900.937,61.73,0.0,101.32,8.6
2024-08-10,,,,,,
2024-08-11,2367.62Ft,900.368,61.69,0.0,78.44,5.8
2024-08-12,2367.80Ft,902.927,61.87,0.0,93.68,19.2
2024-08-13,2367.92Ft,904.633,61.98,0.0,104.21,19.4
2024-08-14,2367.98Ft,905.486,62.04,0.0,94.92,8.6
2024-08-15,2367.96Ft,905.201,62.02,0.0,91.54,2.0
2024-08-16,2368.04Ft,906.338,62.1,0.0,73.07,0.0
2024-08-17,2368.00Ft,905.77,62.06,0.0,87.94,10.2
2024-08-18,721.815,908.04,62.22,0.0,99.87,2.2
2024-08-19,721.846,909.459,62.31,0.0,77.72,0.6
2024-08-20,721.858,910.026,62.35,0.0,70.34,4.0
2024-08-21,721.901,912.012,62.49,0.0,86.28,7.4
2024-08-22,722.022,917.687,62.88,0.0,131.88,7.0
2024-08-23,722.065,919.673,63.01,0.0,92.97,0.0
2024-08-24,722.114,921.947,63.17,0.0,70.56,0.2
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,2369.58Ft,928.202,63.6,0.0,48.06,5.8
2024-08-29,2369.58Ft,928.202,63.6,0.0,57.05,10.4
2024-08-30,2369.90Ft,932.75,63.91,0.0,95.76,52.4
2024-08-31,722.516,940.698,64.45,0.0,135.08,22.0
2024-09-01,722.62,945.521,64.78,0.0,108.65,41.8
2024-09-02,722.803,954.045,65.37,0.0,136.94,51.2
2024-09-03,722.925,959.731,65.76,0.0,122.93,37.6
2024-09-04,723.059,965.978,66.19,0.0,121.5,24.0
2024-09-05,723.162,970.802,66.52,0.0,94.55,1.2
2024-09-06,723.254,975.058,66.81,0.0,96.46,9.2
2024-09-07,723.339,979.035,67.08,0.0,99.09,11.2
2024-09-08,723.388,981.309,67.24,0.0,76.12,9.8
2024-09-09,723.473,985.289,67.51,0.0,84.47,13.8
2024-09-10,723.565,989.554,67.8,0.0,105.84,23.0
2024-09-11,723.65,993.529,68.07,0.0,97.81,25.6
2024-09-12,723.754,998.352,68.4,0.0,97.15,27.8
2024-09-13,723.821,1001.474,68.62,0.0,80.44,0.6
2024-09-14,723.857,1003.176,68.73,0.0,72.19,0.0
2024-09-15,723.882,1004.311,68.81,0.0,64.59,2.4
2024-09-16,723.912,1005.731,68.91,0.0,56.97,0.0
2024-09-17,723.912,1005.731,68.91,0.0,54.26,2.6
2024-09-18,723.888,1004.595,68.83,0.0,42.75,0.0
2024-09-19,723.845,1002.609,68.7,0.0,47.73,0.0
2024-09-20,723.778,999.487,68.48,0.0,43.81,0.0
2024-09-21,723.681,994.948,68.17,0.0,37.28,0.0
2024-09-22,723.613,991.827,67.96,0.0,38.77,0.0
2024-09-23,723.559,989.27,67.78,0.0,34.64,4.8
2024-09-24,723.479,985.574,67.53,0.0,41.04,6.4
2024-09-25,723.412,982.446,67.31,0.0,55.6,2.2
2024-09-26,723.351,979.603,67.12,0.0,34.69,0.0
