TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,82.01,97.35,71.0,11.12,1.2,
2024-06-02,82.08,97.35,72.0,10.26,0.0,
2024-06-03,82.15,97.35,73.0,10.0,7.4,
2024-06-04,82.25,97.35,74.0,14.38,2.2,
2024-06-05,82.27,97.35,74.0,3.53,2.2,
2024-06-06,82.4,97.35,76.0,11.41,3.4,
2024-06-07,82.47,97.35,77.0,9.97,13.8,
2024-06-08,82.8,97.35,80.0,44.16,83.2,
2024-06-09,83.41,97.35,88.0,79.77,102.8,
2024-06-10,83.41,97.35,88.0,44.77,1.2,
2024-06-11,83.3,97.35,86.0,27.09,6.2,
2024-06-12,83.18,97.35,85.0,21.27,1.4,
2024-06-13,83.07,97.35,84.0,36.35,10.6,
2024-06-14,82.93,97.35,82.0,34.44,0.0,
2024-06-15,82.87,97.35,81.0,17.41,0.0,
2024-06-16,82.8,97.35,80.0,17.54,1.8,
2024-06-17,82.7,97.35,79.0,15.4,0.0,
2024-06-18,82.62,97.35,78.0,17.67,2.0,
2024-06-19,82.54,97.35,77.0,16.58,9.2,
2024-06-20,82.53,97.35,77.0,25.7,32.2,
2024-06-21,82.44,97.35,76.0,14.22,19.8,
2024-06-22,82.32,97.35,75.0,9.17,1.0,
2024-06-23,82.2,97.35,73.0,8.93,5.2,
2024-06-24,82.12,97.35,72.0,13.79,2.8,
2024-06-25,82.15,97.35,73.0,21.15,27.6,
2024-06-26,82.4,97.35,76.0,52.82,54.2,
2024-06-27,83.01,97.35,83.0,100.74,69.4,
2024-06-28,83.07,97.35,84.0,46.67,28.8,
2024-06-29,82.99,97.35,83.0,28.4,1.0,
2024-06-30,82.84,97.35,81.0,18.25,2.2,
2024-07-01,82.74,97.35,80.0,24.12,7.6,
2024-07-02,82.62,97.35,78.0,20.8,0.0,
2024-07-03,82.48,97.35,77.0,20.11,13.8,
2024-07-04,82.34,97.35,75.0,15.11,0.0,
2024-07-05,82.23,97.35,74.0,10.24,0.0,
2024-07-06,82.15,97.35,73.0,16.7,20.2,
2024-07-07,82.04,97.35,71.0,0.81,0.8,
2024-07-08,82.06,97.35,71.0,19.4,9.2,
2024-07-09,82.08,97.35,72.0,22.28,0.0,
2024-07-10,82.07,97.35,72.0,15.16,0.0,
2024-07-11,82.08,97.35,72.0,18.01,0.0,
2024-07-12,82.07,97.35,72.0,15.16,0.0,
2024-07-13,82.11,97.35,72.0,26.36,4.4,
2024-07-14,82.15,97.35,72.0,21.07,12.8,
2024-07-15,82.2,97.35,73.0,23.42,12.8,
2024-07-16,82.46,97.35,76.0,54.87,61.8,
2024-07-17,82.51,97.35,77.0,25.01,2.8,
2024-07-18,82.57,97.35,78.0,26.14,11.6,
2024-07-19,82.53,97.35,77.0,12.75,0.0,
2024-07-20,82.51,97.35,77.0,15.42,0.0,
2024-07-21,82.48,97.35,77.0,11.24,0.0,
2024-07-22,82.44,97.35,76.0,12.15,4.8,
2024-07-23,82.37,97.35,75.0,7.69,4.8,
2024-07-24,82.36,97.35,75.0,16.11,0.0,
