TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Spill(m^3/s),Rainfall(mm)
2024-06-01,14.148816000000002,442.3856,16.72408,3.1696,,
2024-06-02,14.054328,437.235,16.52937,3.5092,,
2024-06-03,13.956792,431.9712,16.33037,2.1791,,
2024-06-04,13.859256,426.7357,16.13245,2.5187,,
2024-06-05,13.770864,421.9813,15.95271,8.0938,,
2024-06-06,13.679424,417.1137,15.7687,6.7637,,
2024-06-07,13.600176,412.9536,15.61143,14.9707,,
2024-06-08,13.536168,409.5859,15.48411,24.1399,,
2024-06-09,13.463016,405.7371,15.33861,18.5648,,
2024-06-10,13.395960000000002,402.2279,15.20595,22.4985,,
2024-06-11,13.322808,398.464,15.06366,11.037,,
2024-06-12,13.264896000000002,395.4925,14.95132,11.4332,,
2024-06-13,13.206984,392.4927,14.83792,11.0936,,
2024-06-14,13.13688,388.8986,14.70204,4.2167,,
2024-06-15,13.066776,385.3045,14.56617,4.2167,,
2024-06-16,12.993624000000002,381.6255,14.42709,3.2262,,
2024-06-17,12.920472,377.9182,14.28694,2.9149,,
2024-06-18,12.84732,374.2392,14.14785,3.2262,,
2024-06-19,12.774168,370.5602,14.00877,3.2262,,
2024-06-20,12.697968,366.7963,13.86648,2.264,,
2024-06-21,12.621768,363.0324,13.72419,2.264,,
2024-06-22,12.548616,359.41,13.58725,3.9054,,
2024-06-23,12.475464,355.8442,13.45244,3.962,,
2024-06-24,12.426696000000002,353.467,13.36258,4.1601,,
2024-06-25,12.37488,350.9766,13.26843,2.83,,
2024-06-26,12.323064,348.4579,13.17321,2.5187,,
2024-06-27,12.271248,345.9392,13.07799,2.5187,,
2024-06-28,12.216384,343.3073,12.9785,1.2169,,
2024-06-29,12.16152,340.6754,12.879,1.2169,,
2024-06-30,12.1158,338.5246,12.79769,6.4241,,
2024-07-01,12.112752,338.3548,12.79127,29.3754,,
2024-07-02,12.100560000000002,337.7888,12.76987,24.7908,,
2024-07-03,12.08532,337.0813,12.74313,23.1494,,
2024-07-04,12.091416,337.3643,12.75382,34.6109,,
2024-07-05,12.100560000000002,337.7888,12.76987,36.2523,,
2024-07-06,12.118848,338.6661,12.80304,41.4595,,
2024-07-07,12.20724,342.8545,12.96138,80.1456,,
