TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,157.04,681.0,66.91,0.0,248.66,28.6
2024-08-02,157.42,690.5,67.84,0.0,173.66,20.8
2024-08-03,157.66,696.5,68.43,0.0,133.56,9.6
2024-08-04,157.8,700.0,68.78,0.0,104.3,31.8
2024-08-05,158.01,705.27,69.29,0.0,117.86,19.0
2024-08-06,158.19,710.13,69.77,0.0,121.23,33.4
2024-08-07,158.26,712.02,69.96,0.0,87.11,0.2
2024-08-08,158.32,713.64,70.12,0.0,82.65,26.4
2024-08-09,158.38,715.26,70.28,0.0,80.86,2.8
2024-08-10,,,,,,
2024-08-11,158.37,714.99,70.25,0.0,58.59,16.4
2024-08-12,158.37,714.99,70.25,0.0,60.37,4.8
2024-08-13,158.42,716.34,70.38,0.0,77.8,101.4
2024-08-14,158.44,716.88,70.43,0.0,71.42,27.0
2024-08-15,158.4,715.8,70.33,0.0,53.21,1.8
2024-08-16,158.32,713.64,70.12,0.0,38.4,0.0
2024-08-17,158.31,713.37,70.09,0.0,61.21,41.8
2024-08-18,158.32,713.64,70.12,0.0,66.42,15.4
2024-08-19,158.3,713.1,70.06,0.0,40.2,2.8
2024-08-20,158.3,713.1,70.06,0.0,62.84,24.4
2024-08-21,158.39,715.53,70.3,0.0,84.2,115.4
2024-08-22,158.58,720.66,70.81,0.0,102.49,20.6
2024-08-23,158.58,720.66,70.81,0.0,56.06,3.4
2024-08-24,158.55,719.85,70.73,0.0,46.86,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,158.54,719.58,70.7,0.0,28.58,5.2
2024-08-29,158.55,719.85,70.73,0.0,41.91,30.2
2024-08-30,158.7,723.9,71.12,0.0,96.74,47.0
2024-08-31,158.86,728.22,71.55,0.0,103.7,15.6
2024-09-01,158.95,730.65,71.79,0.0,93.7,31.6
2024-09-02,159.03,732.84,72.0,0.0,62.81,23.8
2024-09-03,159.1,734.8,72.19,0.0,83.11,44.2
2024-09-04,159.24,738.72,72.58,0.0,90.52,36.2
2024-09-05,159.3,740.4,72.75,0.0,48.69,4.4
2024-09-06,159.44,744.32,73.13,0.0,64.11,8.0
2024-09-07,159.55,747.4,73.43,0.0,67.39,10.2
2024-09-08,159.63,749.64,73.65,0.0,45.94,16.6
2024-09-09,159.74,752.72,73.96,0.0,70.47,27.0
2024-09-10,159.99,759.72,74.64,0.0,129.92,25.6
2024-09-11,160.09,762.52,74.92,0.0,77.0,23.0
2024-09-12,160.27,767.56,75.41,0.0,99.91,15.2
2024-09-13,160.37,770.36,75.69,0.0,86.15,0.0
2024-09-14,160.44,772.32,75.88,0.0,69.14,1.2
2024-09-15,160.52,774.56,76.1,0.0,61.12,0.0
2024-09-16,160.56,775.68,76.21,0.0,49.4,0.0
2024-09-17,160.55,775.4,76.18,0.0,50.45,0.0
2024-09-18,160.42,771.76,75.83,0.0,19.39,0.0
2024-09-19,160.34,769.52,75.61,0.0,31.23,0.0
2024-09-20,160.24,766.72,75.33,0.0,21.54,8.2
2024-09-21,160.12,763.36,75.0,0.0,23.37,0.0
2024-09-22,160.0,760.0,74.67,0.0,18.33,0.0
2024-09-23,159.91,757.48,74.42,0.0,24.57,1.8
2024-09-24,159.81,754.68,74.15,0.0,33.24,25.6
2024-09-25,159.74,752.72,73.96,0.0,25.55,1.4
2024-09-26,159.7,751.6,73.85,0.0,24.11,11.5
2024-09-27,159.6,748.8,73.57,0.0,23.93,0.0
2024-09-28,159.51,746.28,73.32,0.0,13.47,0.0
2024-09-29,159.46,744.88,73.19,0.0,28.0,8.4
