TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,71.83,25.49,32.0,1.56,0.0,
2024-06-02,71.84,25.49,32.0,0.23,0.0,
2024-06-03,72.03,25.49,34.0,4.94,17.0,
2024-06-04,72.48,25.49,38.0,10.51,3.0,
2024-06-05,72.69,25.49,39.0,4.86,0.0,
2024-06-06,72.83,25.49,41.0,3.67,0.0,
2024-06-07,73.0,25.49,42.0,4.49,22.0,
2024-06-08,73.11,25.49,43.0,2.8,6.0,
2024-06-09,73.43,25.49,46.0,8.67,50.0,
2024-06-10,73.61,25.49,48.0,5.07,10.0,
2024-06-11,73.89,25.49,50.0,7.56,7.0,
2024-06-12,74.0,25.49,51.0,3.07,0.0,
2024-06-13,74.14,25.49,53.0,4.02,10.0,
2024-06-14,74.21,25.49,53.0,2.15,0.0,
2024-06-15,74.27,25.49,54.0,1.75,1.0,
2024-06-16,73.32,25.49,54.0,0.0,0.0,
2024-06-17,74.34,25.49,55.0,0.58,0.0,
2024-06-18,74.37,25.49,55.0,0.86,1.0,
2024-06-19,74.4,25.49,55.0,0.87,6.0,
2024-06-20,74.45,25.49,56.0,1.51,2.0,
2024-06-21,74.49,25.49,56.0,1.2,1.0,
2024-06-22,74.52,25.49,56.0,0.9,13.0,
2024-06-23,74.65,25.49,58.0,3.96,13.0,
2024-06-24,74.86,25.49,60.0,6.52,22.0,
2024-06-25,75.17,25.49,63.0,9.43,36.0,
2024-06-26,75.73,25.49,69.0,17.42,44.0,
2024-06-27,76.21,25.49,75.0,16.49,8.0,
2024-06-28,76.58,25.49,79.0,13.51,13.0,
2024-06-29,76.7,25.49,81.0,5.89,2.0,
2024-06-30,76.7,25.49,81.0,28.95,11.0,
2024-07-01,76.76,25.49,82.0,17.47,26.0,
2024-07-02,76.66,25.49,80.0,10.46,2.0,
2024-07-03,76.66,25.49,80.0,5.14,1.0,
2024-07-04,76.72,25.49,81.0,8.55,12.0,
2024-07-05,76.65,25.49,80.0,6.03,1.0,
2024-07-06,76.64,25.49,80.0,3.52,3.0,
2024-07-07,76.71,25.49,81.0,0.0,30.0,
2024-07-08,76.67,25.49,81.0,9.27,30.0,
2024-07-09,76.67,25.49,81.0,10.27,3.0,
2024-07-10,76.64,25.49,80.0,4.03,2.0,
2024-07-11,76.63,25.49,80.0,4.88,1.0,
2024-07-12,76.62,25.49,80.0,3.45,0.0,
2024-07-13,76.68,25.49,81.0,6.49,11.0,
2024-07-14,76.7,25.49,81.0,6.62,25.0,
2024-07-15,76.7,25.49,81.0,8.87,45.0,
2024-07-16,76.79,25.49,82.0,29.86,90.0,
2024-07-17,76.63,25.49,80.0,47.79,36.0,
2024-07-18,76.63,25.49,80.0,37.41,63.0,
2024-07-19,76.53,25.49,79.0,29.57,21.0,
2024-07-20,76.43,25.49,77.0,21.21,17.0,
2024-07-21,76.4,25.49,77.0,20.89,11.0,
2024-07-22,76.28,25.49,76.0,11.16,0.0,
2024-07-23,76.23,25.49,75.0,10.27,0.0,
2024-07-24,76.27,25.49,75.0,8.57,40.0,
2024-07-25,76.47,25.49,78.0,14.96,55.0,
2024-07-26,76.53,25.49,79.0,26.14,52.0,
2024-07-27,76.45,25.49,78.0,19.38,2.0,
2024-07-28,76.31,25.49,76.0,12.07,11.0,
2024-07-29,76.49,25.49,78.0,24.27,61.0,
2024-07-30,77.46,25.49,92.0,144.51,231.0,
2024-07-31,76.8,25.49,82.0,84.47,45.0,
2024-08-01,76.64,25.49,80.0,42.4,33.0,
2024-08-02,76.49,25.49,78.0,24.96,6.0,
2024-08-03,76.36,25.49,77.0,17.44,2.0,
2024-08-04,76.29,25.49,76.0,13.08,1.0,
2024-08-05,76.22,25.49,75.0,9.33,2.0,
2024-08-06,76.21,25.49,75.0,8.76,15.0,
2024-08-07,76.18,25.49,74.0,8.27,0.0,
2024-08-08,76.16,25.49,74.0,7.15,4.0,
2024-08-09,76.13,25.49,74.0,5.54,0.0,
2024-08-10,76.11,25.49,74.0,4.56,29.0,
2024-08-11,76.11,25.49,74.0,5.63,1.0,
2024-08-12,76.09,25.49,73.0,4.43,6.0,
2024-08-13,76.09,25.49,73.0,4.73,1.0,
2024-08-14,,,,,,
2024-08-15,76.17,25.49,74.0,6.84,13.0,
2024-08-16,,,,,,
2024-08-17,76.19,25.49,74.0,9.34,12.0,
2024-08-18,76.19,25.49,74.0,8.92,11.0,
2024-08-19,76.17,25.49,74.0,7.56,0.0,
2024-08-20,76.19,25.49,74.0,8.82,13.0,
2024-08-21,76.19,25.49,74.0,8.58,9.0,
2024-08-22,76.18,25.49,74.0,8.46,0.0,
2024-08-23,76.15,25.49,74.0,6.44,0.0,
2024-08-24,76.14,25.49,74.0,6.47,1.0,
2024-08-25,76.17,25.49,74.0,9.28,33.0,
2024-08-26,76.14,25.49,74.0,5.99,0.0,
2024-08-27,76.12,25.49,74.0,5.41,1.0,
2024-08-28,76.12,25.49,74.0,2.58,2.0,
2024-08-29,76.14,25.49,74.0,3.29,11.0,
2024-08-30,76.24,25.49,75.0,6.59,11.0,
2024-08-31,76.25,25.49,75.0,12.39,22.0,
2024-09-01,76.23,25.49,75.0,9.98,21.0,
2024-09-02,76.17,25.49,74.0,6.45,7.0,
2024-09-03,76.22,25.49,75.0,11.16,40.0,
2024-09-04,,,,,,
2024-09-05,,,,,,
2024-09-06,,,,,,
2024-09-07,,,,,,
2024-09-08,,,,,,
