TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,141.42,13.7,7.0,0.0,0.0,
2024-06-02,141.42,13.7,7.0,0.0,0.0,
2024-06-03,141.42,13.7,7.0,0.0,0.0,
2024-06-04,141.42,13.7,7.0,0.0,3.0,
2024-06-05,141.42,13.7,7.0,0.0,0.0,
2024-06-06,141.42,13.7,7.0,0.0,0.0,
2024-06-07,141.43,13.7,7.0,0.0,49.0,
2024-06-08,141.43,13.7,7.0,0.0,2.0,
2024-06-09,141.43,13.7,7.0,0.0,20.0,
2024-06-10,141.43,13.7,7.0,0.0,2.0,
2024-06-11,141.43,13.7,7.0,0.0,19.0,
2024-06-12,141.43,13.7,7.0,0.0,2.0,
2024-06-13,141.43,13.7,7.0,0.0,7.0,
2024-06-14,141.43,13.7,7.0,0.0,0.0,
2024-06-15,141.43,13.7,7.0,0.0,0.0,
2024-06-16,141.43,13.7,7.0,0.0,0.0,
2024-06-17,141.43,13.7,7.0,0.0,0.0,
2024-06-18,141.43,13.7,7.0,0.0,0.0,
2024-06-19,141.43,13.7,7.0,0.0,0.0,
2024-06-20,141.43,13.7,7.0,0.0,0.0,
2024-06-21,141.43,13.7,7.0,0.0,0.0,
2024-06-22,141.43,13.7,7.0,0.0,19.0,
2024-06-23,141.43,13.7,7.0,0.0,3.0,
2024-06-24,141.43,13.7,7.0,0.0,7.0,
2024-06-25,141.45,13.7,7.0,0.0,41.0,
2024-06-26,141.66,13.7,8.0,0.68,52.0,
2024-06-27,141.73,13.7,8.0,0.24,6.0,
2024-06-28,141.88,13.7,8.0,0.74,15.0,
2024-06-29,141.96,13.7,9.0,0.36,2.0,
2024-06-30,141.96,13.7,9.0,0.74,3.0,
2024-07-01,141.98,13.7,9.0,0.0,15.0,
2024-07-02,141.98,13.7,9.0,0.0,1.0,
2024-07-03,141.98,13.7,9.0,0.0,0.0,
2024-07-04,141.98,13.7,9.0,0.0,1.0,
2024-07-05,141.98,13.7,9.0,0.0,0.0,
2024-07-06,141.98,13.7,9.0,0.0,6.0,
2024-07-07,142.04,13.7,9.0,0.28,18.0,
2024-07-08,142.07,13.7,9.0,0.14,9.0,
2024-07-09,142.07,13.7,9.0,0.14,0.0,
2024-07-10,142.07,13.7,9.0,0.0,0.0,
2024-07-11,142.07,13.7,9.0,0.0,0.0,
2024-07-12,142.07,13.7,9.0,0.0,0.0,
2024-07-13,142.11,13.7,9.0,0.2,12.0,
2024-07-14,142.27,13.7,10.0,0.68,51.0,
2024-07-15,142.65,13.7,11.0,2.09,36.0,
2024-07-16,144.17,13.7,16.0,4.51,145.0,
2024-07-17,144.78,13.7,18.0,3.0,40.0,
2024-07-18,145.24,13.7,21.0,3.07,44.0,
2024-07-19,145.69,13.7,24.0,3.34,35.0,
2024-07-20,146.23,13.7,26.0,4.16,30.0,
2024-07-21,146.69,13.7,29.0,3.79,12.0,
2024-07-22,146.76,13.7,30.0,0.8,0.0,
2024-07-23,146.84,13.7,30.0,0.46,17.0,
2024-07-24,146.99,13.7,31.0,1.15,22.0,
2024-07-25,147.45,13.7,34.0,3.89,45.0,
2024-07-26,148.28,13.7,40.0,7.88,64.0,
2024-07-27,148.67,13.7,33.0,5.84,2.0,
2024-07-28,148.97,13.7,45.0,4.04,3.0,
2024-07-29,149.28,13.7,48.0,3.17,31.0,
2024-07-30,150.34,13.7,57.0,12.85,138.0,
2024-07-31,151.1,13.7,66.0,12.77,12.0,
2024-08-01,151.49,13.7,70.0,6.33,18.0,
2024-08-02,151.71,13.7,72.0,3.79,7.0,
2024-08-03,151.87,13.7,74.0,2.45,11.0,
2024-08-04,151.94,13.7,75.0,1.3,3.0,
2024-08-05,152.06,13.7,76.0,2.04,0.0,
2024-08-06,152.2,13.7,78.0,2.48,0.0,
2024-08-07,152.2,13.7,79.0,1.94,0.0,
2024-08-08,152.4,13.7,80.0,1.4,5.0,
2024-08-09,152.51,13.7,81.0,1.78,0.0,
2024-08-10,152.59,13.7,82.0,1.34,0.0,
2024-08-11,152.67,13.7,83.0,1.34,0.0,
2024-08-12,152.73,13.7,83.0,1.05,0.0,
2024-08-13,152.8,13.7,84.0,1.25,0.0,
2024-08-14,,,,,,
2024-08-15,152.9,13.7,85.0,0.59,0.0,
2024-08-16,,,,,,
2024-08-17,152.9,13.7,85.0,0.0,4.0,
2024-08-18,152.9,13.7,85.0,0.0,3.0,
2024-08-19,152.93,13.7,86.0,0.56,0.0,
2024-08-20,152.96,13.7,86.0,0.46,3.0,
2024-08-21,153.03,13.7,87.0,0.62,33.0,
2024-08-22,153.04,13.7,87.0,0.39,0.0,
2024-08-23,153.04,13.7,87.0,0.39,0.0,
2024-08-24,153.04,13.7,87.0,0.0,0.0,
2024-08-25,153.06,13.7,87.0,0.0,11.0,
2024-08-26,153.06,13.7,87.0,0.0,0.0,
2024-08-27,153.06,13.7,87.0,0.0,0.0,
2024-08-28,153.06,13.7,87.0,0.0,0.0,
2024-08-29,153.06,13.7,87.0,0.0,7.0,
2024-08-30,153.12,13.7,88.0,0.7,28.0,
2024-08-31,153.16,13.7,88.0,0.73,7.0,
2024-09-01,153.16,13.7,88.0,0.0,2.0,
2024-09-02,153.16,13.7,88.0,0.0,0.0,
2024-09-03,153.19,13.7,89.0,0.0,15.0,
2024-09-04,,,,,,
2024-09-05,,,,,,
2024-09-06,,,,,,
2024-09-07,,,,,,
2024-09-08,,,,,,
2024-09-09,,,,,,
2024-09-10,,,,,,
2024-09-11,,,,,,
2024-09-12,,,,,,
2024-09-13,,,,,,
2024-09-14,,,,,,
2024-09-15,,,,,,
2024-09-16,,,,,,
2024-09-17,,,,,,
2024-09-18,,,,,,
2024-09-19,,,,,,
2024-09-20,,,,,,
2024-09-21,,,,,,
2024-09-22,,,,,,
2024-09-23,,,,,,
2024-09-24,,,,,,
2024-09-25,,,,,,
2024-09-26,,,,,,
2024-09-27,,,,,,
2024-09-28,,,,,,
2024-09-29,,,,,,
2024-09-30,,,,,,
2024-10-01,,,,,,
2024-10-02,,,,,,
2024-10-03,,,,,,
2024-10-04,,,,,,
2024-10-05,,,,,,
2024-10-06,,,,,,
2024-10-07,,,,,,
2024-10-08,,,,,,
2024-10-09,,,,,,
2024-10-10,,,,,,
2024-10-11,,,,,,
2024-10-12,,,,,,
2024-10-13,,,,,,
2024-10-14,,,,,,
2024-10-15,,,,,,
2024-10-16,,,,,,
2024-10-17,,,,,,
