TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,1755.15,5.075,66.34,0.0,2.6,11.8
2024-08-02,1755.55,5.3,69.28,0.0,2.6,2.8
2024-08-03,1755.8,5.45,71.24,0.0,1.74,0.4
2024-08-04,1756.1,5.63,73.59,0.0,2.08,1.2
2024-08-05,1756.3,5.75,75.16,0.0,1.39,0.0
2024-08-06,1756.5,5.87,76.73,0.0,1.39,3.8
2024-08-07,1756.75,6.02,78.69,0.0,1.74,3.2
2024-08-08,1756.95,6.17,80.65,0.0,1.74,2.4
2024-08-09,1757.1,6.27,81.96,0.0,1.16,1.6
2024-08-10,,,,,,
2024-08-11,1757.4,6.48,84.71,0.0,1.22,19.0
2024-08-12,1757.6,6.62,86.54,0.0,1.62,10.6
2024-08-13,1758.0,6.9,90.2,0.0,3.24,39.0
2024-08-14,1758.3,7.12,93.07,0.0,2.55,8.6
2024-08-15,1758.35,7.16,93.59,0.54,0.46,13.4
2024-08-16,1758.35,7.16,93.59,0.68,0.54,3.0
2024-08-17,1758.35,7.16,93.59,0.68,0.68,5.0
2024-08-18,1758.35,7.16,93.59,0.68,0.68,1.0
2024-08-19,1758.35,7.16,93.59,0.68,0.68,0.8
2024-08-20,1758.35,7.16,93.59,0.68,0.68,18.6
2024-08-21,1758.35,7.16,93.59,0.68,0.68,12.6
2024-08-22,1758.35,7.16,93.59,0.68,0.68,6.0
2024-08-23,1758.3,7.12,93.07,0.22,0.68,0.4
2024-08-24,1758.3,7.12,93.07,0.68,0.68,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,1758.25,7.08,92.55,0.68,0.68,0.0
2024-08-29,1758.25,7.08,92.55,0.68,0.68,1.6
2024-08-30,1758.25,7.08,92.55,0.68,0.68,1.6
2024-08-31,1758.3,7.12,93.07,0.68,1.14,20.6
2024-09-01,1758.3,7.12,93.07,0.68,0.68,20.6
2024-09-02,1758.25,7.08,92.55,0.68,0.68,1.0
2024-09-03,1758.25,7.08,92.55,0.68,0.68,2.4
2024-09-04,1758.25,7.08,92.55,0.68,0.68,1.4
2024-09-05,1758.25,7.08,92.55,0.68,0.68,0.0
2024-09-06,1758.25,7.08,92.55,0.68,0.68,0.0
2024-09-07,1758.25,7.08,92.55,0.68,0.68,1.6
2024-09-08,1758.25,7.08,92.55,0.68,0.68,0.2
2024-09-09,1758.25,7.08,92.55,0.68,0.68,0.6
2024-09-10,1758.25,7.08,92.55,0.68,0.68,2.6
2024-09-11,1758.25,7.08,92.55,0.68,0.68,1.6
2024-09-12,1758.25,7.08,92.55,0.68,0.68,1.2
2024-09-13,1758.25,7.08,92.55,0.68,0.68,0.0
2024-09-14,1758.2,7.045,92.09,0.27,0.68,0.0
2024-09-15,1758.2,7.045,92.09,0.68,0.68,0.2
2024-09-16,1758.2,7.045,92.09,0.68,0.68,0.2
2024-09-17,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-18,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-19,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-20,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-21,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-22,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-23,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-24,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-25,1758.2,7.045,92.09,0.68,0.68,0.0
2024-09-26,1758.15,7.005,91.57,0.68,0.22,0.0
2024-09-27,1758.15,7.005,91.57,0.68,0.68,0.2
