TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,193.88,18.4,17.0,0.0,0.0,
2024-06-02,193.88,18.4,17.0,0.0,0.0,
2024-06-03,193.88,18.4,17.0,0.0,0.0,
2024-06-04,193.88,18.4,17.0,0.0,0.0,
2024-06-05,193.88,18.4,17.0,0.0,0.0,
2024-06-06,193.87,18.4,17.0,0.0,0.0,
2024-06-07,193.87,18.4,17.0,0.0,1.0,
2024-06-08,193.87,18.4,17.0,0.0,0.0,
2024-06-09,193.87,18.4,17.0,0.0,22.0,
2024-06-10,193.87,18.4,17.0,0.0,7.0,
2024-06-11,193.87,18.4,17.0,0.0,9.0,
2024-06-12,193.88,18.4,17.0,0.0,2.0,
2024-06-13,193.88,18.4,17.0,0.01,16.0,
2024-06-14,193.88,18.4,17.0,0.01,0.0,
2024-06-15,193.88,18.4,17.0,0.0,0.0,
2024-06-16,193.88,18.4,17.0,0.0,0.0,
2024-06-17,193.88,18.4,17.0,0.0,0.0,
2024-06-18,193.88,18.4,17.0,0.0,0.0,
2024-06-19,193.88,18.4,17.0,0.0,0.0,
2024-06-20,193.88,18.4,17.0,0.0,14.0,
2024-06-21,193.88,18.4,17.0,0.0,2.0,
2024-06-22,193.88,18.4,17.0,0.0,2.0,
2024-06-23,193.88,18.4,17.0,0.0,1.0,
2024-06-24,193.89,18.4,17.0,0.09,44.0,
2024-06-25,193.9,18.4,17.0,0.09,19.0,
2024-06-26,194.0,18.4,18.0,0.64,29.0,
2024-06-27,194.2,18.4,18.0,1.42,13.0,
2024-06-28,194.39,18.4,19.0,1.42,6.0,
2024-06-29,194.6,18.4,20.0,1.49,15.0,
2024-06-30,194.7,18.4,20.0,0.44,1.0,
2024-07-01,194.72,18.4,20.0,0.15,1.0,
2024-07-02,194.75,18.4,20.0,0.22,3.0,
2024-07-03,194.85,18.4,20.0,0.83,27.0,
2024-07-04,194.9,18.4,21.0,0.46,1.0,
2024-07-05,194.92,18.4,21.0,0.09,0.0,
2024-07-06,194.99,18.4,21.0,0.36,1.0,
2024-07-07,195.03,18.4,21.0,0.45,5.0,
2024-07-08,195.07,18.4,21.0,0.53,5.0,
2024-07-09,195.11,18.4,22.0,0.54,2.0,
2024-07-10,195.14,18.4,22.0,0.44,4.0,
2024-07-11,195.16,18.4,22.0,0.3,0.0,
2024-07-12,195.18,18.4,22.0,0.29,0.0,
2024-07-13,195.25,18.4,23.0,1.02,10.0,
2024-07-14,195.33,18.4,23.0,1.16,9.0,
2024-07-15,195.56,18.4,25.0,3.4,26.0,
2024-07-16,195.7,18.4,26.0,2.01,54.0,
2024-07-17,196.03,18.4,28.0,4.33,29.0,
2024-07-18,196.43,18.4,30.0,5.78,28.0,
2024-07-19,196.86,18.4,33.0,5.98,40.0,
2024-07-20,197.2,18.4,36.0,5.06,38.0,
2024-07-21,197.54,18.4,38.0,4.96,138.0,
2024-07-22,197.82,18.4,40.0,3.96,39.0,
2024-07-23,198.0,18.4,41.0,2.74,8.0,
2024-07-24,198.12,18.4,42.0,1.83,24.0,
2024-07-25,198.27,18.4,44.0,3.41,12.0,
2024-07-26,198.58,18.4,46.0,5.89,54.0,
2024-07-27,199.02,18.4,63.0,11.53,57.0,
2024-07-28,199.17,18.4,53.0,2.64,1.0,
2024-07-29,199.33,18.4,54.0,2.43,16.0,
2024-07-30,199.8,18.4,60.0,12.54,63.0,
2024-07-31,200.0,18.4,62.0,4.62,3.0,
2024-08-01,200.19,18.4,65.0,5.79,15.0,
2024-08-02,200.35,18.4,66.0,2.35,8.0,
2024-08-03,200.48,18.4,67.0,2.87,11.0,
2024-08-04,200.58,18.4,68.0,2.55,0.0,
2024-08-05,200.66,18.4,69.0,1.88,0.0,
2024-08-06,200.73,18.4,70.0,1.62,0.0,
2024-08-07,200.8,18.4,71.0,1.59,0.0,
2024-08-08,200.87,18.4,73.0,4.8,0.0,
2024-08-09,200.93,18.4,75.0,4.12,0.0,
2024-08-10,200.98,18.4,77.0,3.44,0.0,
2024-08-11,201.03,18.4,78.0,2.71,0.0,
2024-08-12,201.07,18.4,79.0,1.78,2.0,
2024-08-13,201.12,18.4,80.0,2.2,0.0,
2024-08-14,,,,,,
2024-08-15,201.26,18.4,82.0,1.18,2.0,
2024-08-16,,,,,,
2024-08-17,201.33,18.4,83.0,0.67,0.0,
2024-08-18,201.36,18.4,83.0,0.68,0.0,
2024-08-19,201.39,18.4,83.0,0.68,0.0,
2024-08-20,201.41,18.4,84.0,0.44,0.0,
2024-08-21,201.44,18.4,84.0,0.65,0.0,
2024-08-22,201.48,18.4,84.0,0.86,7.0,
2024-08-23,201.5,18.4,84.0,0.42,0.0,
2024-08-24,201.52,18.4,85.0,0.41,0.0,
2024-08-25,201.54,18.4,85.0,0.41,3.0,
2024-08-26,201.6,18.4,85.0,1.23,10.0,
2024-08-27,201.7,18.4,86.0,2.08,9.0,
2024-08-28,201.82,18.4,88.0,2.51,17.0,
2024-08-29,201.92,18.4,89.0,2.14,25.0,
2024-08-30,201.98,18.4,89.0,1.29,11.0,
2024-08-31,202.02,18.4,90.0,0.87,2.0,
2024-09-01,202.05,18.4,90.0,0.66,0.0,
2024-09-02,202.08,18.4,90.0,0.66,0.0,
2024-09-03,202.12,18.4,91.0,0.88,8.0,
2024-09-04,,,,,,
2024-09-05,,,,,,
2024-09-06,,,,,,
2024-09-07,,,,,,
2024-09-08,,,,,,
2024-09-09,,,,,,
2024-09-10,,,,,,
2024-09-11,,,,,,
2024-09-12,,,,,,
2024-09-13,,,,,,
2024-09-14,,,,,,
2024-09-15,,,,,,
2024-09-16,,,,,,
2024-09-17,,,,,,
2024-09-18,,,,,,
2024-09-19,,,,,,
2024-09-20,,,,,,
2024-09-21,,,,,,
2024-09-22,,,,,,
2024-09-23,,,,,,
2024-09-24,,,,,,
2024-09-25,,,,,,
2024-09-26,,,,,,
2024-09-27,,,,,,
2024-09-28,,,,,,
2024-09-29,,,,,,
2024-09-30,,,,,,
2024-10-01,,,,,,
2024-10-02,,,,,,
2024-10-03,,,,,,
2024-10-04,,,,,,
2024-10-05,,,,,,
2024-10-06,,,,,,
2024-10-07,,,,,,
2024-10-08,,,,,,
2024-10-09,,,,,,
2024-10-10,,,,,,
2024-10-11,,,,,,
2024-10-12,,,,,,
2024-10-13,,,,,,
2024-10-14,,,,,,
2024-10-15,,,,,,
2024-10-16,,,,,,
2024-10-17,,,,,,
