TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,456.35,6.307,98.09,219.3,258.42,23.0
2024-08-02,456.35,6.307,98.09,172.25,211.93,13.0
2024-08-03,456.4,6.332,98.48,115.96,155.99,4.0
2024-08-04,456.35,6.307,98.09,72.84,112.07,4.0
2024-08-05,456.4,6.332,98.48,61.85,101.53,2.0
2024-08-06,456.35,6.31,98.13,66.65,106.16,0.0
2024-08-07,456.35,6.31,98.13,43.35,83.17,0.0
2024-08-08,456.45,6.358,98.88,47.8,88.22,18.0
2024-08-09,456.4,6.332,98.48,33.42,72.99,1.0
2024-08-10,,,,,,
2024-08-11,456.35,6.307,98.09,31.38,71.04,0.0
2024-08-12,456.35,6.307,98.09,47.59,86.67,66.0
2024-08-13,456.4,6.33,98.44,58.4,98.25,11.0
2024-08-14,456.4,6.33,98.44,68.05,107.09,37.0
2024-08-15,456.45,6.358,98.88,71.05,110.76,9.0
2024-08-16,456.45,6.358,98.88,47.23,86.73,3.0
2024-08-17,456.35,6.307,98.09,41.69,80.61,5.0
2024-08-18,456.45,6.358,98.88,33.9,74.02,6.0
2024-08-19,456.4,6.332,98.48,34.52,72.7,0.0
2024-08-20,456.4,6.332,98.48,29.79,69.24,2.0
2024-08-21,456.35,6.307,98.09,28.86,67.98,12.0
2024-08-22,456.4,6.33,98.44,57.36,96.5,11.0
2024-08-23,456.35,6.307,98.09,30.11,69.33,0.0
2024-08-24,456.4,6.332,98.48,28.22,67.78,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,456.25,6.251,97.22,2.38,41.72,13.0
2024-08-29,456.4,6.332,98.48,0.0,40.32,42.0
2024-08-30,456.5,6.38,99.22,19.56,59.34,53.0
2024-08-31,456.4,6.332,98.48,71.47,110.74,28.0
2024-09-01,456.4,6.332,98.48,30.46,70.4,51.0
2024-09-02,456.45,6.358,98.88,32.05,72.23,33.0
2024-09-03,456.45,6.358,98.88,24.42,64.2,31.0
2024-09-04,456.35,6.307,98.09,20.28,59.56,7.0
2024-09-05,456.2,6.219,96.72,8.3,47.03,0.0
2024-09-06,456.25,6.251,97.22,7.27,45.07,2.0
2024-09-07,455.8,5.966,92.78,4.93,43.53,3.0
2024-09-08,455.15,5.553,86.36,4.7,43.08,35.0
2024-09-09,454.75,5.3,82.43,0.47,40.97,24.0
2024-09-10,455.2,5.585,86.86,0.0,46.88,41.0
2024-09-11,455.4,5.712,88.83,0.0,43.71,61.0
2024-09-12,455.1,5.522,85.88,0.0,41.58,48.0
2024-09-13,454.7,5.268,81.93,0.0,40.14,0.0
2024-09-14,453.45,4.475,69.6,0.0,34.32,0.0
2024-09-15,453.3,4.38,68.12,0.0,35.3,0.0
2024-09-16,452.9,4.168,64.82,0.0,35.05,0.0
2024-09-17,454.0,4.824,75.02,0.0,38.98,0.0
2024-09-18,453.6,4.57,71.07,0.0,26.73,2.0
2024-09-19,452.6,4.02,62.52,0.0,31.26,0.0
2024-09-20,453.1,4.27,66.41,0.0,28.84,0.0
2024-09-21,453.2,4.321,67.2,0.0,27.03,0.0
2024-09-22,452.45,3.938,61.24,0.0,23.67,0.0
2024-09-23,452.8,4.117,64.03,0.0,30.28,2.0
2024-09-24,453.55,4.538,70.58,0.0,33.91,10.0
2024-09-25,453.85,4.729,73.55,0.0,26.08,0.0
2024-09-26,452.85,4.14,64.39,0.0,18.68,13.0
2024-09-27,453.0,4.219,65.61,0.0,26.38,0.0
2024-09-28,452.35,3.887,60.45,0.0,22.38,0.0
2024-09-29,452.5,3.964,61.65,0.0,29.45,7.0
